date,INTL_MSCIJP_RVOL13
2001-04-06,0.30622412453552966
2001-04-13,0.286280259468643
2001-04-20,0.270187008207585
2001-04-27,0.2706495019351839
2001-05-04,0.29936938171552663
2001-05-11,0.30703618394986376
2001-05-18,0.31043172276196185
2001-05-25,0.3120572213168145
2001-06-01,0.28202165271971397
2001-06-08,0.27991117440305546
2001-06-15,0.2743000614883677
2001-06-22,0.23597683006944478
2001-06-29,0.23284838432593452
2001-07-06,0.2338704236669705
2001-07-13,0.23363871510792006
2001-07-20,0.22387740634348177
2001-07-27,0.21904518013322802
2001-08-03,0.17390366009932015
2001-08-10,0.16216660550086734
2001-08-17,0.1636708497802406
2001-08-24,0.15240086861336638
2001-08-31,0.15543337261033122
2001-09-07,0.15698267806149893
2001-09-14,0.14165863267844642
2001-09-21,0.14746521855052067
2001-09-28,0.14951738881480872
2001-10-05,0.1618973259968248
2001-10-12,0.16307942795923616
2001-10-19,0.16052908123720802
2001-10-26,0.16357025075730688
2001-11-02,0.14927482443012377
2001-11-09,0.14906832346298973
2001-11-16,0.1462489276215801
2001-11-23,0.15026292847511938
2001-11-30,0.14834998752182962
2001-12-07,0.1492918306935684
2001-12-14,0.16082473833146316
2001-12-21,0.14300976500807647
2001-12-28,0.14998056528233103
2002-01-04,0.14322268548341208
2002-01-11,0.1690725416012336
2002-01-18,0.16929803683129457
2002-01-25,0.17024844374589998
2002-02-01,0.17181076169760187
2002-02-08,0.17110590469669051
2002-02-15,0.21058719550440488
2002-02-22,0.20903893989919756
2002-03-01,0.23534370658833792
2002-03-08,0.3352120129643395
2002-03-15,0.32346034265065543
2002-03-22,0.33867623827754484
2002-03-29,0.33876721587332914
2002-04-05,0.34173725205145145
2002-04-12,0.3283854556043997
2002-04-19,0.3379687403302087
2002-04-26,0.32632843037011444
2002-05-03,0.31182025580434275
2002-05-10,0.310409837597826
2002-05-17,0.3064800596116043
2002-05-24,0.30612061130157525
2002-05-31,0.30630180303852905
2002-06-07,0.21352318028372907
2002-06-14,0.22836222245415952
2002-06-21,0.21265138424534313
2002-06-28,0.22411435128545293
2002-07-05,0.21629074787710834
2002-07-12,0.20246653098475373
2002-07-19,0.1917881040221402
2002-07-26,0.24216308707089987
2002-08-02,0.24262140009149805
2002-08-09,0.24908570997112114
2002-08-16,0.23261012203272016
2002-08-23,0.2181059106274095
2002-08-30,0.21801161452214862
2002-09-06,0.23157894192061212
2002-09-13,0.2229835746201233
2002-09-20,0.21989361478720817
2002-09-27,0.20130347548132807
2002-10-04,0.211171171256356
2002-10-11,0.2208888484846126
2002-10-18,0.25390176152848215
2002-10-25,0.2141906546752921
2002-11-01,0.21438483458746757
2002-11-08,0.21040051300509274
2002-11-15,0.21222020033445588
2002-11-22,0.21555005915759856
2002-11-29,0.23674167778495628
2002-12-06,0.23285654044440363
2002-12-13,0.23282851114897152
2002-12-20,0.23308267321679407
2002-12-27,0.24508420776404996
2003-01-03,0.22535411743446104
2003-01-10,0.19513797398979751
2003-01-17,0.18991605573531822
2003-01-24,0.18494104026269612
2003-01-31,0.2251832306130215
2003-02-07,0.2254908778766794
2003-02-14,0.22096383193183422
2003-02-21,0.22115096663266579
2003-02-28,0.20633068294866716
2003-03-07,0.18897241673913776
2003-03-14,0.19667610257957585
2003-03-21,0.19592271945777298
2003-03-28,0.18616447026573496
2003-04-04,0.1937383753430982
2003-04-11,0.19897598263643673
2003-04-18,0.17849270788802518
2003-04-25,0.1786931918300358
2003-05-02,0.17213720092878235
2003-05-09,0.1879694302363197
2003-05-16,0.18360764160015589
2003-05-23,0.18358994635348921
2003-05-30,0.17922663354294174
2003-06-06,0.19795231255312284
2003-06-13,0.18693514868560973
2003-06-20,0.18682170530999426
2003-06-27,0.18712331202520416
2003-07-04,0.2052574161817768
2003-07-11,0.1867940499918769
2003-07-18,0.2035301565233863
2003-07-25,0.1884335023470178
2003-08-01,0.1904279806451375
2003-08-08,0.19216453001068026
2003-08-15,0.21284213899247864
2003-08-22,0.23065961356549605
2003-08-29,0.2280158678125664
2003-09-05,0.22078545483117148
2003-09-12,0.22018522251967199
2003-09-19,0.23513412000340653
2003-09-26,0.2504999603070891
2003-10-03,0.24021895740764473
2003-10-10,0.23850769983430975
2003-10-17,0.2229916556963806
2003-10-24,0.2717320409542545
2003-10-31,0.26371251067638435
2003-11-07,0.25224358086851284
2003-11-14,0.2529051073073205
2003-11-21,0.24745830465746285
2003-11-28,0.24961710397599043
2003-12-05,0.2526645002135586
2003-12-12,0.25736609808911265
2003-12-19,0.2329699192677867
2003-12-26,0.2241361077835454
2004-01-02,0.19982298634359175
2004-01-09,0.2008720070126617
2004-01-16,0.20112479283742055
2004-01-23,0.15966066316995428
2004-01-30,0.17173724575011626
2004-02-06,0.1763174431926877
2004-02-13,0.16611725967984023
2004-02-20,0.1505473045363557
2004-02-27,0.14953967196028503
2004-03-05,0.14286450538228157
2004-03-12,0.14875762780875532
2004-03-19,0.19090166644255266
2004-03-26,0.20662332797534175
2004-04-02,0.20485017502724237
2004-04-09,0.2043613635294861
2004-04-16,0.21097162597694052
2004-04-23,0.20768515803552481
2004-04-30,0.21427786876250246
2004-05-07,0.23068989090091563
2004-05-14,0.2662497915519147
2004-05-21,0.2837781002404225
2004-05-28,0.28562830005529044
2004-06-04,0.2852044617088618
2004-06-11,0.2918332856184457
2004-06-18,0.26122663212783204
2004-06-25,0.2495877607787129
2004-07-02,0.24805501765502366
2004-07-09,0.2502285753259549
2004-07-16,0.24734009930414122
2004-07-23,0.25267254726589733
2004-07-30,0.24473817259053804
2004-08-06,0.23185856860534185
2004-08-13,0.19266672186898853
2004-08-20,0.17121485534313344
