date,INTL_SXXGV_RVOL13
2001-04-06,0.21599927309806988
2001-04-13,0.23168044971494622
2001-04-20,0.2409320583614666
2001-04-27,0.24176631959405623
2001-05-04,0.2415681412220604
2001-05-11,0.23768445210519967
2001-05-18,0.23939694661457597
2001-05-25,0.23467858477693299
2001-06-01,0.23747428136875512
2001-06-08,0.237285073662442
2001-06-15,0.16528458315802724
2001-06-22,0.14881701936849148
2001-06-29,0.13183925532590454
2001-07-06,0.14536908158991282
2001-07-13,0.1279561937662454
2001-07-20,0.11283210396845245
2001-07-27,0.11287562819141814
2001-08-03,0.13137891655684317
2001-08-10,0.13845993337139426
2001-08-17,0.13075099957041703
2001-08-24,0.1379073162914963
2001-08-31,0.13920789097225997
2001-09-07,0.17823412958375098
2001-09-14,0.21967949684556345
2001-09-21,0.2603299444687397
2001-09-28,0.3862433658578951
2001-10-05,0.387745405034646
2001-10-12,0.3912170952209414
2001-10-19,0.3949473019519952
2001-10-26,0.4048796703952202
2001-11-02,0.3998454828669016
2001-11-09,0.4027509573276433
2001-11-16,0.4027304161293393
2001-11-23,0.3999913414195475
2001-11-30,0.39696917723247943
2001-12-07,0.3777717969584338
2001-12-14,0.34694305052701696
2001-12-21,0.2854511518948275
2001-12-28,0.16319896727891636
2002-01-04,0.1613693399136049
2002-01-11,0.1683675398909145
2002-01-18,0.16178856906475958
2002-01-25,0.14452785424209014
2002-02-01,0.14396212730289015
2002-02-08,0.13277421108207976
2002-02-15,0.1375342285720149
2002-02-22,0.14459576149036682
2002-03-01,0.1596431716935194
2002-03-08,0.17182541737388113
2002-03-15,0.1570095060365807
2002-03-22,0.15681900405121235
2002-03-29,0.1522031712408496
2002-04-05,0.14658302638852738
2002-04-12,0.1416075070485698
2002-04-19,0.14645531894530706
2002-04-26,0.14986461362644943
2002-05-03,0.1496196696502913
2002-05-10,0.14553833029722615
2002-05-17,0.14828295035693187
2002-05-24,0.14180691152782063
2002-05-31,0.13320381962667835
2002-06-07,0.12771527221615595
2002-06-14,0.15103253008601056
2002-06-21,0.1546739242746019
2002-06-28,0.18033523775652668
2002-07-05,0.1815568227997166
2002-07-12,0.21672740116449613
2002-07-19,0.20411651857865004
2002-07-26,0.2234369772401319
2002-08-02,0.2245354046435673
2002-08-09,0.24227475347187313
2002-08-16,0.23699057383083444
2002-08-23,0.24343913829733077
2002-08-30,0.24477945746690122
2002-09-06,0.242175107385256
2002-09-13,0.23647392991808763
2002-09-20,0.24618367117244747
2002-09-27,0.22177465502367294
2002-10-04,0.22532701621640988
2002-10-11,0.23106685473639482
2002-10-18,0.2516728552523987
2002-10-25,0.22625669263644896
2002-11-01,0.22752248833986924
2002-11-08,0.21967791498314823
2002-11-15,0.22152700956383556
2002-11-22,0.22469319032696727
2002-11-29,0.21980875613043402
2002-12-06,0.22017121189651462
2002-12-13,0.21399133307292076
2002-12-20,0.18141008516154278
2002-12-27,0.1852472508159519
2003-01-03,0.18703754591966706
2003-01-10,0.1769853977200368
2003-01-17,0.16750471630645805
2003-01-24,0.18529944179245883
2003-01-31,0.18315770554890268
2003-02-07,0.18294376843376914
2003-02-14,0.17698955536452526
2003-02-21,0.1665682754506906
2003-02-28,0.16787091894966485
2003-03-07,0.17203594477924233
2003-03-14,0.17658435044038265
2003-03-21,0.2153155746370388
2003-03-28,0.2192648294586035
2003-04-04,0.19266734281563122
2003-04-11,0.1960905148943394
2003-04-18,0.20477100564601614
2003-04-25,0.18624804314848215
2003-05-02,0.19481029998765464
2003-05-09,0.18595021695252095
2003-05-16,0.18868141235442917
2003-05-23,0.19192838613524535
2003-05-30,0.1810332432168752
2003-06-06,0.14981389355749936
2003-06-13,0.15092011775510095
2003-06-20,0.13211152772280704
2003-06-27,0.13866674856727834
2003-07-04,0.1410840828998949
2003-07-11,0.14308392590400384
2003-07-18,0.13986603027385636
2003-07-25,0.143108046892914
2003-08-01,0.13373743195178833
2003-08-08,0.13201774449633033
2003-08-15,0.12924980268861716
2003-08-22,0.1312114318115232
2003-08-29,0.12633295746611775
2003-09-05,0.12962175852029667
2003-09-12,0.12850136758162126
2003-09-19,0.13484951170936402
2003-09-26,0.13158418223091892
2003-10-03,0.14104382093052628
2003-10-10,0.14331783192757483
2003-10-17,0.1391636896014447
2003-10-24,0.13840921165363723
2003-10-31,0.13491165827498297
2003-11-07,0.13453421774006757
2003-11-14,0.1341559853654076
2003-11-21,0.1339870008823375
2003-11-28,0.13207148976661906
2003-12-05,0.12047291194696097
