date,INTL_UKX_RVOL13
2001-04-06,0.17542530930072803
2001-04-13,0.19044150344005942
2001-04-20,0.19541930959915066
2001-04-27,0.19485409624170022
2001-05-04,0.19579421175065098
2001-05-11,0.19524086474558497
2001-05-18,0.1945043224362926
2001-05-25,0.18883090516428006
2001-06-01,0.18861180402392647
2001-06-08,0.19407355620708663
2001-06-15,0.16778041412013467
2001-06-22,0.1564010638322001
2001-06-29,0.13202093523172811
2001-07-06,0.14419809353335458
2001-07-13,0.13093327856811057
2001-07-20,0.12931211839860535
2001-07-27,0.12476210116710607
2001-08-03,0.14092515279051496
2001-08-10,0.1436586059651988
2001-08-17,0.14331625428655045
2001-08-24,0.15695213786330955
2001-08-31,0.160250773757083
2001-09-07,0.16918657637482337
2001-09-14,0.19054467760597185
2001-09-21,0.21845321691386155
2001-09-28,0.3311367531398075
2001-10-05,0.3359986320772101
2001-10-12,0.339045082545022
2001-10-19,0.3384325835739416
2001-10-26,0.3469892936441615
2001-11-02,0.34161377614869454
2001-11-09,0.343633507592535
2001-11-16,0.342787321659327
2001-11-23,0.33884506358616945
2001-11-30,0.33733931828261965
2001-12-07,0.3196912508927846
2001-12-14,0.30175661129467957
2001-12-21,0.25704651947800683
2001-12-28,0.15951536954334394
2002-01-04,0.1543175653042805
2002-01-11,0.15887968994263577
2002-01-18,0.1525079063399559
2002-01-25,0.13837167304056028
2002-02-01,0.13610901177378007
2002-02-08,0.1299788239636397
2002-02-15,0.13061008529947354
2002-02-22,0.1389677135965527
2002-03-01,0.1452552517542062
2002-03-08,0.15067095133185324
2002-03-15,0.12454636760742886
2002-03-22,0.1214790112237478
2002-03-29,0.11750711626781594
2002-04-05,0.11369684121281426
2002-04-12,0.10692744763774509
2002-04-19,0.10741776688089377
2002-04-26,0.11011437379513163
2002-05-03,0.11155090873104985
2002-05-10,0.10940583451470688
2002-05-17,0.10884038663832177
2002-05-24,0.09620269827543759
2002-05-31,0.0902365463333707
2002-06-07,0.09438034626620712
2002-06-14,0.14099741897656948
2002-06-21,0.141240447035081
2002-06-28,0.14489886397885673
2002-07-05,0.14483690210545475
2002-07-12,0.20939170536121776
2002-07-19,0.19993095222462082
2002-07-26,0.19988809838283497
2002-08-02,0.20383622977044977
2002-08-09,0.2575791161288658
2002-08-16,0.25526451563358954
2002-08-23,0.2610960220454321
2002-08-30,0.26586369506607305
2002-09-06,0.2647539750872093
2002-09-13,0.24732619196387506
2002-09-20,0.252496688440692
2002-09-27,0.2529616022480415
2002-10-04,0.25371864315219905
2002-10-11,0.2209372864420668
2002-10-18,0.23413463274790855
2002-10-25,0.23386172868670263
2002-11-01,0.233553417131907
2002-11-08,0.194173010037851
2002-11-15,0.19757179343677247
2002-11-22,0.2005795188285954
2002-11-29,0.18696954480573846
2002-12-06,0.19347632312372848
2002-12-13,0.1992152627531822
2002-12-20,0.18452296105583646
2002-12-27,0.18549907011802363
2003-01-03,0.2004113140871166
2003-01-10,0.18853002712728
2003-01-17,0.17751025439483573
2003-01-24,0.2038367099162965
2003-01-31,0.20360988338397992
2003-02-07,0.2034260043619681
2003-02-14,0.19940999919886349
2003-02-21,0.20792473948919346
2003-02-28,0.2084036429069396
2003-03-07,0.2131896093046633
2003-03-14,0.2218454047266038
2003-03-21,0.27050811087173743
2003-03-28,0.2805690819972742
2003-04-04,0.2697900092891652
2003-04-11,0.269614898944645
2003-04-18,0.26146464259467916
2003-04-25,0.22959828700435295
2003-05-02,0.22867070591950822
2003-05-09,0.22881361231592118
2003-05-16,0.22979264364210744
2003-05-23,0.2297977017282239
2003-05-30,0.22429519061935316
2003-06-06,0.1940822644199223
2003-06-13,0.19295394978797245
2003-06-20,0.1405687928774373
2003-06-27,0.11888147353914807
2003-07-04,0.11464359426929438
2003-07-11,0.11428514882968793
2003-07-18,0.10870706546305964
2003-07-25,0.10891622716706542
2003-08-01,0.10577523400462562
2003-08-08,0.10734983282243384
2003-08-15,0.11023083592222836
2003-08-22,0.10271599750457147
2003-08-29,0.10616206018902316
2003-09-05,0.10408953009431982
2003-09-12,0.10422972402421453
2003-09-19,0.10397545090539945
2003-09-26,0.1052822937695514
2003-10-03,0.11324081898499987
2003-10-10,0.11317133789172992
2003-10-17,0.11328606387538319
2003-10-24,0.12524060493713557
2003-10-31,0.12449573524422496
2003-11-07,0.12825281677598332
2003-11-14,0.12100537292232592
2003-11-21,0.1270832435932177
2003-11-28,0.12160670929201871
2003-12-05,0.11414921793513733
2003-12-12,0.11412059108819253
2003-12-19,0.11692498833163635
2003-12-26,0.10214108653619518
2004-01-02,0.092177372111609
2004-01-09,0.09561728466498894
2004-01-16,0.09516319058178929
2004-01-23,0.0785210711904151
2004-01-30,0.08578259931085559
2004-02-06,0.07549363041294778
2004-02-13,0.07507327024391622
2004-02-20,0.07720278967611129
2004-02-27,0.0788730806717334
2004-03-05,0.08102111395057982
2004-03-12,0.09007100818602114
2004-03-19,0.08917371214660127
2004-03-26,0.09168582344665467
2004-04-02,0.10111726497817307
2004-04-09,0.09976182580553833
2004-04-16,0.10150164013232148
2004-04-23,0.1010123944720145
2004-04-30,0.10246814183770608
2004-05-07,0.10244942700515113
2004-05-14,0.10636381946447877
2004-05-21,0.09430253574773333
2004-05-28,0.09397959145439926
2004-06-04,0.09074543042274077
2004-06-11,0.0849494272576772
2004-06-18,0.08154093585691494
2004-06-25,0.07537876757736073
2004-07-02,0.07005292377159097
2004-07-09,0.06877032682555659
2004-07-16,0.06632728708150598
2004-07-23,0.06229044332603855
2004-07-30,0.07194707989360619
2004-08-06,0.07802754266144687
2004-08-13,0.0761639144811594
2004-08-20,0.08437969153862636
2004-08-27,0.10211024438289655
2004-09-03,0.10484800605675187
2004-09-10,0.10443991237214949
2004-09-17,0.10577400602640914
2004-09-24,0.10581099645237133
2004-10-01,0.10003866492371277
2004-10-08,0.09891141908229585
2004-10-15,0.10218907175081623
2004-10-22,0.10175658402572547
2004-10-29,0.09651573616524842
2004-11-05,0.09398999044296899
2004-11-12,0.08817904567062487
2004-11-19,0.09161980217224125
2004-11-26,0.0815704114189939
