date,INTL_UK2Y
2001-01-05,5.2
2001-01-12,5.286
2001-01-19,5.249
2001-01-26,5.268
2001-02-02,5.261
2001-02-09,5.243
2001-02-16,5.278
2001-02-23,5.206
2001-03-02,5.159
2001-03-09,5.145
2001-03-16,4.941
2001-03-23,4.868
2001-03-30,4.965
2001-04-06,4.875
2001-04-13,5.037
2001-04-20,5.003
2001-04-27,4.933
2001-05-04,4.911
2001-05-11,4.976
2001-05-18,5.127
2001-05-25,5.142
2001-06-01,5.192
2001-06-08,5.201
2001-06-15,5.4
2001-06-22,5.352
2001-06-29,5.496
2001-07-06,5.319
2001-07-13,5.306
2001-07-20,5.325
2001-07-27,5.21
2001-08-03,5.066
2001-08-10,4.89
2001-08-17,4.991
2001-08-24,5.032
2001-08-31,4.896
2001-09-07,4.834
2001-09-14,4.556
2001-09-21,4.553
2001-09-28,4.576
2001-10-05,4.485
2001-10-12,4.629
2001-10-19,4.485
2001-10-26,4.299
2001-11-02,4.12
2001-11-09,3.888
2001-11-16,4.275
2001-11-23,4.297
2001-11-30,4.337
2001-12-07,4.667
2001-12-14,4.624
2001-12-21,4.635
2001-12-28,4.732
2002-01-04,4.698
2002-01-11,4.797
2002-01-18,4.574
2002-01-25,4.744
2002-02-01,4.7
2002-02-08,4.627
2002-02-15,4.688
2002-02-22,4.595
2002-03-01,4.69
2002-03-08,5.014
2002-03-15,5.036
2002-03-22,5.113
2002-03-29,5.093
2002-04-05,4.955
2002-04-12,4.892
2002-04-19,4.917
2002-04-26,4.753
2002-05-03,4.832
2002-05-10,4.883
2002-05-17,4.979
2002-05-24,4.893
2002-05-31,4.885
2002-06-07,4.792
2002-06-14,4.726
2002-06-21,4.716
2002-06-28,4.695
2002-07-05,4.706
2002-07-12,4.505
2002-07-19,4.343
2002-07-26,4.137
2002-08-02,3.939
2002-08-09,3.928
2002-08-16,4.063
2002-08-23,4.032
2002-08-30,3.905
2002-09-06,3.742
2002-09-13,3.823
2002-09-20,3.598
2002-09-27,3.578
2002-10-04,3.659
2002-10-11,3.737
2002-10-18,3.854
2002-10-25,3.931
2002-11-01,3.885
2002-11-08,3.93
2002-11-15,3.96
2002-11-22,4.06
2002-11-29,4.16
2002-12-06,4.037
2002-12-13,3.903
2002-12-20,3.877
2002-12-27,3.776
2003-01-03,3.812
2003-01-10,3.769
2003-01-17,3.751
2003-01-24,3.672
2003-01-31,3.656
2003-02-07,3.377
2003-02-14,3.394
2003-02-21,3.38
