date,INTL_DE10Y
2001-01-05,4.693
2001-01-12,4.83
2001-01-19,4.844
2001-01-26,4.852
2001-02-02,4.787
2001-02-09,4.771
2001-02-16,4.818
2001-02-23,4.828
2001-03-02,4.735
2001-03-09,4.717
2001-03-16,4.665
2001-03-23,4.621
2001-03-30,4.705
2001-04-06,4.712
2001-04-13,4.857
2001-04-20,4.951
2001-04-27,4.974
2001-05-04,4.955
2001-05-11,5.016
2001-05-18,5.07
2001-05-25,5.199
2001-06-01,5.076
2001-06-08,5.073
2001-06-15,5.014
2001-06-22,4.94
2001-06-29,5.103
2001-07-06,5.08
2001-07-13,5.077
2001-07-20,4.957
2001-07-27,4.904
2001-08-03,4.909
2001-08-10,4.802
2001-08-17,4.755
2001-08-24,4.88
2001-08-31,4.788
2001-09-07,4.821
2001-09-14,4.77
2001-09-21,4.886
2001-09-28,4.791
2001-10-05,4.653
2001-10-12,4.692
2001-10-19,4.625
2001-10-26,4.501
2001-11-02,4.334
2001-11-09,4.319
2001-11-16,4.559
2001-11-23,4.602
2001-11-30,4.555
2001-12-07,4.861
2001-12-14,4.762
2001-12-21,4.874
2001-12-28,4.996
2002-01-04,4.975
2002-01-11,4.823
2002-01-18,4.832
2002-01-25,4.972
2002-02-01,4.88
2002-02-08,4.915
2002-02-15,4.924
2002-02-22,4.921
2002-03-01,5.009
2002-03-08,5.176
2002-03-15,5.226
2002-03-22,5.257
2002-03-29,5.255
2002-04-05,5.135
2002-04-12,5.148
2002-04-19,5.204
2002-04-26,5.092
2002-05-03,5.116
2002-05-10,5.199
2002-05-17,5.258
2002-05-24,5.16
2002-05-31,5.168
2002-06-07,5.131
2002-06-14,4.973
2002-06-21,4.966
2002-06-28,4.942
2002-07-05,5.015
2002-07-12,4.875
2002-07-19,4.84
2002-07-26,4.729
2002-08-02,4.632
2002-08-09,4.561
2002-08-16,4.57
2002-08-23,4.654
2002-08-30,4.568
2002-09-06,4.406
2002-09-13,4.413
2002-09-20,4.357
2002-09-27,4.342
2002-10-04,4.366
2002-10-11,4.425
2002-10-18,4.6
2002-10-25,4.595
2002-11-01,4.552
2002-11-08,4.47
2002-11-15,4.46
2002-11-22,4.51
2002-11-29,4.49
2002-12-06,4.412
2002-12-13,4.32
2002-12-20,4.294
2002-12-27,4.197
2003-01-03,4.333
2003-01-10,4.265
2003-01-17,4.174
2003-01-24,4.025
2003-01-31,4.072
2003-02-07,3.997
2003-02-14,3.976
2003-02-21,3.937
2003-02-28,3.918
2003-03-07,3.839
2003-03-14,4.025
2003-03-21,4.277
2003-03-28,4.129
2003-04-04,4.186
2003-04-11,4.207
2003-04-18,4.172
2003-04-25,4.101
2003-05-02,4.082
2003-05-09,3.926
2003-05-16,3.824
2003-05-23,3.64
2003-05-30,3.721
2003-06-06,3.679
2003-06-13,3.465
2003-06-20,3.697
2003-06-27,3.848
2003-07-04,3.932
2003-07-11,3.917
2003-07-18,4.041
2003-07-25,4.0
2003-08-01,4.194
2003-08-08,4.015
2003-08-15,4.16
2003-08-22,4.186
2003-08-29,4.197
2003-09-05,4.314
2003-09-12,4.154
2003-09-19,4.16
2003-09-26,4.029
2003-10-03,4.21
2003-10-10,4.2
2003-10-17,4.323
2003-10-24,4.265
2003-10-31,4.331
2003-11-07,4.497
2003-11-14,4.365
2003-11-21,4.323
2003-11-28,4.457
2003-12-05,4.344
2003-12-12,4.304
2003-12-19,4.289
2003-12-26,4.25
2004-01-02,4.33
2004-01-09,4.141
2004-01-16,4.152
2004-01-23,4.095
2004-01-30,4.24
2004-02-06,4.144
2004-02-13,4.103
2004-02-20,4.135
2004-02-27,4.051
2004-03-05,3.984
2004-03-12,3.901
2004-03-19,3.891
2004-03-26,3.87
2004-04-02,4.08
2004-04-09,4.067
2004-04-16,4.113
2004-04-23,4.181
2004-04-30,4.175
2004-05-07,4.302
2004-05-14,4.309
2004-05-21,4.31
2004-05-28,4.328
2004-06-04,4.395
2004-06-11,4.426
2004-06-18,4.353
2004-06-25,4.325
2004-07-02,4.262
2004-07-09,4.235
2004-07-16,4.197
2004-07-23,4.247
2004-07-30,4.216
2004-08-06,4.074
2004-08-13,4.047
2004-08-20,4.063
2004-08-27,4.071
2004-09-03,4.148
2004-09-10,4.057
2004-09-17,4.025
2004-09-24,3.971
2004-10-01,4.023
2004-10-08,3.947
2004-10-15,3.9
2004-10-22,3.862
2004-10-29,3.873
2004-11-05,3.903
2004-11-12,3.778
2004-11-19,3.785
2004-11-26,3.773
2004-12-03,3.752
2004-12-10,3.612
2004-12-17,3.619
2004-12-24,3.601
2004-12-31,3.683
2005-01-07,3.61
2005-01-14,3.56
2005-01-21,3.573
2005-01-28,3.549
2005-02-04,3.497
2005-02-11,3.463
2005-02-18,3.664
2005-02-25,3.71
2005-03-04,3.696
2005-03-11,3.767
2005-03-18,3.703
2005-03-25,3.71
2005-04-01,3.613
2005-04-08,3.58
2005-04-15,3.491
2005-04-22,3.469
2005-04-29,3.396
2005-05-06,3.445
2005-05-13,3.307
2005-05-20,3.378
2005-05-27,3.333
2005-06-03,3.237
2005-06-10,3.145
2005-06-17,3.291
2005-06-24,3.135
2005-07-01,3.157
2005-07-08,3.181
2005-07-15,3.283
2005-07-22,3.231
2005-07-29,3.243
2005-08-05,3.377
2005-08-12,3.293
2005-08-19,3.204
2005-08-26,3.15
2005-09-02,3.059
2005-09-09,3.048
2005-09-16,3.115
2005-09-23,3.06
2005-09-30,3.148
2005-10-07,3.176
2005-10-14,3.291
2005-10-21,3.231
2005-10-28,3.406
2005-11-04,3.494
2005-11-11,3.512
2005-11-18,3.539
2005-11-25,3.427
2005-12-02,3.397
2005-12-09,3.445
2005-12-16,3.345
2005-12-23,3.326
2005-12-30,3.309
2006-01-06,3.262
2006-01-13,3.264
2006-01-20,3.375
2006-01-27,3.48
2006-02-03,3.489
2006-02-10,3.476
2006-02-17,3.447
2006-02-24,3.49
2006-03-03,3.591
2006-03-10,3.687
2006-03-17,3.691
2006-03-24,3.634
2006-03-31,3.771
2006-04-07,3.896
2006-04-14,3.957
2006-04-21,3.952
2006-04-28,3.951
2006-05-05,4.002
2006-05-12,4.081
2006-05-19,3.99
2006-05-26,3.884
2006-06-02,3.929
2006-06-09,3.934
2006-06-16,3.939
2006-06-23,4.081
2006-06-30,4.071
2006-07-07,4.065
2006-07-14,3.983
2006-07-21,3.956
2006-07-28,3.92
2006-08-04,3.906
2006-08-11,3.981
2006-08-18,3.902
2006-08-25,3.793
2006-09-01,3.745
2006-09-08,3.787
2006-09-15,3.776
2006-09-22,3.694
2006-09-29,3.709
2006-10-06,3.752
2006-10-13,3.832
2006-10-20,3.839
2006-10-27,3.809
2006-11-03,3.773
2006-11-10,3.714
2006-11-17,3.73
2006-11-24,3.699
2006-12-01,3.664
2006-12-08,3.728
2006-12-15,3.799
2006-12-22,3.881
2006-12-29,3.948
2007-01-05,3.982
2007-01-12,4.063
2007-01-19,4.05
2007-01-26,4.092
2007-02-02,4.061
2007-02-09,4.091
2007-02-16,4.05
2007-02-23,4.047
2007-03-02,3.938
2007-03-09,3.959
2007-03-16,3.905
2007-03-23,4.001
2007-03-30,4.057
2007-04-06,4.097
2007-04-13,4.231
2007-04-20,4.203
2007-04-27,4.22
2007-05-04,4.195
2007-05-11,4.217
2007-05-18,4.311
2007-05-25,4.387
2007-06-01,4.461
2007-06-08,4.572
2007-06-15,4.657
2007-06-22,4.653
2007-06-29,4.574
2007-07-06,4.677
2007-07-13,4.618
2007-07-20,4.438
2007-07-27,4.323
2007-08-03,4.317
2007-08-10,4.354
2007-08-17,4.287
2007-08-24,4.262
2007-08-31,4.242
2007-09-07,4.122
2007-09-14,4.166
