date,EQ_SECTOR_DISP
2012-01-13,0.03267896023795009
2012-01-20,0.03500909937309595
2012-01-27,0.04404415269731326
2012-02-03,0.0367758879343396
2012-02-10,0.024907914249281005
2012-02-17,0.017510536939160562
2012-02-24,0.02446066677706457
2012-03-02,0.023761117404544833
2012-03-09,0.018254619434168826
2012-03-16,0.0223039194641253
2012-03-23,0.03518390992738207
2012-03-30,0.02962899200792383
2012-04-06,0.027249919675440003
2012-04-13,0.02624168628207127
2012-04-20,0.023872685342459708
2012-04-27,0.014894738472151897
2012-05-04,0.023621384559963928
2012-05-11,0.030616655272455252
2012-05-18,0.03392193817682087
2012-05-25,0.03261197780788717
2012-06-01,0.03203320106005368
2012-06-08,0.020617464727257187
2012-06-15,0.010089507170817162
2012-06-22,0.0160946199830824
2012-06-29,0.014111504988630803
2012-07-06,0.012521736109565501
2012-07-13,0.018026576381904164
2012-07-20,0.024412950260103126
2012-07-27,0.016816219361706932
2012-08-03,0.016402165984874744
2012-08-10,0.03044947614966002
2012-08-17,0.027545332814311874
2012-08-24,0.024055046858844954
2012-08-31,0.021200005288467137
2012-09-07,0.022004990214197908
2012-09-14,0.028353038453559846
2012-09-21,0.021067664722658273
2012-09-28,0.017325875609459366
2012-10-05,0.02063096022045608
2012-10-12,0.027261564319437496
2012-10-19,0.02686921636724827
2012-10-26,0.020366719120652115
2012-11-02,0.018470357410254105
2012-11-09,0.016263687261416956
2012-11-16,0.014520403441231976
2012-11-23,0.025209624357922816
2012-11-30,0.0164769003108635
2012-12-07,0.010410176594229291
2012-12-14,0.009853922076554675
2012-12-21,0.01751628412676877
2012-12-28,0.021776654829590483
2013-01-04,0.024604191351795743
2013-01-11,0.021162916393447445
2013-01-18,0.016783686752948956
2013-01-25,0.021024118154109612
2013-02-01,0.015313014352900143
2013-02-08,0.016589749200123786
2013-02-15,0.011616914588576308
2013-02-22,0.02152590642580151
2013-03-01,0.014935841198778173
2013-03-08,0.012694808630660177
2013-03-15,0.011023360517298847
2013-03-22,0.012497242107037045
2013-03-29,0.012485025491320651
2013-04-05,0.030367796944370085
2013-04-12,0.03663270923597378
2013-04-19,0.04537472754404028
2013-04-26,0.026330202751146888
2013-05-03,0.009930320246773261
2013-05-10,0.019518508866794678
2013-05-17,0.04003173311627233
2013-05-24,0.03490273384992452
2013-05-31,0.04131472057241157
2013-06-07,0.031291661674246275
2013-06-14,0.02471234401793974
2013-06-21,0.024100282107007057
2013-06-28,0.015897173087369213
2013-07-05,0.01289002059871793
2013-07-12,0.014854121424154886
2013-07-19,0.019553445155095554
2013-07-26,0.011476640634817806
2013-08-02,0.020881383069346074
2013-08-09,0.017533280390696595
2013-08-16,0.03399271575499571
2013-08-23,0.02742487401200443
2013-08-30,0.01768681381271225
2013-09-06,0.021537943608319107
2013-09-13,0.015404778728977322
2013-09-20,0.013023224317726961
2013-09-27,0.015829434981458862
2013-10-04,0.012242214017976228
2013-10-11,0.0104943325520493
2013-10-18,0.007463520543061578
2013-10-25,0.007577278689846697
2013-11-01,0.014163657353045167
2013-11-08,0.02076217380755993
2013-11-15,0.02461857032701372
2013-11-22,0.033100247425156264
2013-11-29,0.03178329283017057
2013-12-06,0.017926204720294308
2013-12-13,0.01753877746922367
2013-12-20,0.015020589026731514
2013-12-27,0.01474021689638233
2014-01-03,0.01887969955928729
2014-01-10,0.013723023625616407
2014-01-17,0.01701283352229859
2014-01-24,0.024780708971370472
2014-01-31,0.03576674212545255
2014-02-07,0.022529277099924187
2014-02-14,0.02360373910889559
2014-02-21,0.020515023639709595
2014-02-28,0.013155461013310568
2014-03-07,0.011438809047131751
2014-03-14,0.009402162559915073
2014-03-21,0.014984899643250291
2014-03-28,0.020007411354283206
2014-04-04,0.02436117620032565
2014-04-11,0.026975700126877916
2014-04-18,0.031814867377766676
2014-04-25,0.02387449960001945
2014-05-02,0.017162138917982434
2014-05-09,0.013007200123387259
2014-05-16,0.013668168587292188
2014-05-23,0.020442936498103664
2014-05-30,0.010285694934663584
