date,EQ_SLOPE_BP
2016-03-11,102.85
2016-03-18,103.79
2016-03-25,103.10999999999999
2016-04-01,104.80999999999997
2016-04-08,102.17
2016-04-15,101.83
2016-04-22,106.99999999999999
2016-04-29,105.16999999999999
2016-05-06,104.49
2016-05-13,95.41999999999999
2016-05-20,96.21000000000001
2016-05-27,94.24
2016-06-03,92.88
2016-06-10,91.39
2016-06-17,91.50999999999999
2016-06-24,93.29
2016-07-01,85.47999999999999
2016-07-08,75.29
2016-07-15,88.35
2016-07-22,86.38
2016-07-29,79.77000000000001
2016-08-05,86.64
2016-08-12,80.78
2016-08-19,83.22
2016-08-26,78.67999999999999
2016-09-02,81.66
2016-09-09,89.28
2016-09-16,93.05000000000001
2016-09-23,86.44000000000001
2016-09-30,83.25
2016-10-07,88.8
2016-10-14,96.29
2016-10-21,91.13
2016-10-28,99.42
2016-11-04,99.24
2016-11-11,123.50000000000001
2016-11-18,128.7
2016-11-25,124.04000000000002
2016-12-02,128.74000000000004
2016-12-09,133.45999999999998
2016-12-16,133.92000000000002
2016-12-23,133.57000000000002
2016-12-30,125.60000000000002
2017-01-06,120.94999999999997
2017-01-13,120.32999999999998
2017-01-20,127.83000000000003
2017-01-27,126.61000000000003
2017-02-03,126.78999999999998
2017-02-10,121.78000000000002
2017-02-17,122.64999999999999
2017-02-24,116.89
2017-03-03,117.29000000000002
2017-03-10,122.11000000000001
2017-03-17,118.59000000000002
2017-03-24,115.57000000000002
2017-03-31,113.34
2017-04-07,109.60000000000001
2017-04-14,103.21000000000001
2017-04-21,106.78000000000003
2017-04-28,101.82999999999997
2017-05-05,103.85
2017-05-12,103.52999999999999
2017-05-19,96.42999999999999
2017-05-26,95.28000000000002
2017-06-02,87.12
2017-06-09,86.57999999999998
2017-06-16,83.63000000000002
2017-06-23,80.19000000000001
2017-06-30,92.20000000000002
2017-07-07,98.66000000000001
2017-07-14,97.63000000000002
2017-07-21,89.72999999999998
2017-07-28,94.17
2017-08-04,91.11
2017-08-11,89.48
2017-08-18,88.85000000000002
2017-08-25,83.44000000000003
2017-09-01,82.37
2017-09-08,78.86999999999999
2017-09-15,82.2
2017-09-22,81.88999999999997
2017-09-29,85.09000000000002
2017-10-06,85.49000000000002
2017-10-13,78.01000000000002
2017-10-20,80.82000000000001
2017-10-27,81.89000000000001
2017-11-03,71.8
2017-11-10,74.43000000000002
2017-11-17,62.220000000000006
2017-11-24,59.750000000000014
2017-12-01,58.94999999999999
2017-12-08,58.14999999999999
2017-12-15,51.72000000000001
2017-12-22,59.03999999999998
2017-12-29,52.24000000000002
2018-01-05,51.64000000000002
2018-01-12,54.85999999999998
2018-01-19,59.44999999999996
2018-01-26,54.36000000000001
2018-02-02,69.97999999999998
2018-02-09,77.8
2018-02-16,68.54
2018-02-23,62.80000000000001
2018-03-02,62.25000000000001
2018-03-09,63.58000000000001
2018-03-16,55.359999999999985
2018-03-23,55.969999999999985
2018-03-30,47.28000000000003
2018-04-06,50.74000000000001
2018-04-13,47.01000000000004
