date,EQ_VIX_CHG4
2012-01-13,-3.3800010681152344
2012-01-20,-2.4499988555908203
2012-01-27,-4.869998931884766
2012-02-03,-3.529998779296875
2012-02-10,-0.11999893188476562
2012-02-17,-0.5
2012-02-24,-1.220001220703125
2012-03-02,0.1900005340576172
2012-03-09,-3.6800003051757812
2012-03-16,-3.310000419616699
2012-03-23,-2.4899997711181623
2012-03-30,-1.7900009155273438
2012-04-06,-0.4099998474121094
2012-04-13,5.079998970031738
2012-04-20,2.6200008392333967
2012-04-27,0.8199996948242188
2012-05-04,2.4599990844726562
2012-05-11,0.3400001525878942
2012-05-18,7.659999847412109
2012-05-25,5.440000534057617
2012-06-01,7.5
2012-06-08,1.340000152587887
2012-06-15,-3.9899997711181676
2012-06-22,-3.649999618530277
2012-06-29,-9.579999923706055
2012-07-06,-4.129999160766602
2012-07-13,-4.370000839233395
2012-07-20,-1.840000152587887
2012-07-27,-0.37999916076660156
2012-08-03,-1.4600000381469727
2012-08-10,-2.0
2012-08-17,-2.820000648498535
2012-08-24,-1.5200004577636737
2012-08-31,1.8299989700317383
2012-09-07,-0.3599996566772461
2012-09-14,1.0600004196166992
2012-09-21,-1.2000007629394513
2012-09-28,-1.739999771118164
2012-10-05,-0.050000190734861505
2012-10-12,1.6299991607666016
2012-10-19,3.0799999237060547
2012-10-26,2.0799999237060547
2012-11-02,3.260000228881834
2012-11-09,2.4700012207031214
2012-11-16,-0.6499996185302734
2012-11-23,-2.669999122619629
2012-11-30,-1.7200002670288086
2012-12-07,-2.7100009918212873
2012-12-14,0.5900001525878906
2012-12-21,2.6999998092651367
2012-12-28,6.84999942779541
2013-01-04,-2.069999694824215
2013-01-11,-3.640000343322754
2013-01-18,-5.380000114440918
2013-01-25,-9.829998970031738
2013-02-01,-0.9300003051757848
2013-02-08,-0.3399991989135742
2013-02-15,0.0
2013-02-22,1.2799997329711896
2013-03-01,2.4600000381469744
2013-03-08,-0.43000030517578125
2013-03-15,-1.1599998474121094
2013-03-22,-0.600000381469723
2013-03-29,-2.6599998474121094
2013-04-05,1.329999923706053
2013-04-12,0.7600002288818359
2013-04-19,1.400000572204588
2013-04-26,0.9099998474121094
2013-05-03,-1.0699996948242152
2013-05-10,0.5299997329711914
2013-05-17,-2.520000457763672
2013-05-24,0.38000011444091797
2013-05-31,3.4499988555908185
2013-06-07,2.5500001907348633
2013-06-14,4.699999809265137
2013-06-21,4.909999847412109
2013-06-28,0.5600013732910156
2013-07-05,-0.25
2013-07-12,-3.309999465942383
2013-07-19,-6.359999656677246
2013-07-26,-4.140000343322754
2013-08-02,-2.910000801086426
2013-08-09,-0.43000030517578125
2013-08-16,1.8299999237060547
2013-08-23,1.2599992752075195
2013-08-30,5.030000686645508
2013-09-06,2.440000534057619
2013-09-13,-0.21000003814697266
2013-09-20,-0.8599996566772461
2013-09-27,-1.5500001907348633
2013-10-04,0.8899993896484357
2013-10-11,1.5600004196166992
2013-10-18,-0.07999992370605469
2013-10-25,-2.369999885559082
2013-11-01,-3.4600000381469727
2013-11-08,-2.820000648498537
2013-11-15,-0.8500003814697266
2013-11-22,-0.8299999237060547
2013-11-29,0.4200000762939453
2013-12-06,0.8900003433227557
2013-12-13,3.570000648498535
2013-12-20,1.5299997329711914
2013-12-27,-1.239999771118164
2014-01-03,-0.029999732971191406
2014-01-10,-3.619999885559082
2014-01-17,-1.3500003814697266
2014-01-24,5.679999351501468
2014-01-31,4.649999618530273
2014-02-07,3.1499996185302734
2014-02-14,1.1300001144409197
2014-02-21,-3.4599990844726616
2014-02-28,-4.409999847412109
2014-03-07,-1.1800003051757812
2014-03-14,4.249999999999998
2014-03-21,0.3199996948242205
2014-03-28,0.4099998474121094
2014-04-04,-0.14999961853027344
2014-04-11,-0.7899990081787109
2014-04-18,-1.640000343322754
2014-04-25,-0.34999942779541016
2014-05-02,-1.0500001907348633
2014-05-09,-4.110000610351564
2014-05-16,-0.9200000762939453
2014-05-23,-2.700000762939453
2014-05-30,-1.5100002288818377
2014-06-06,-2.1900005340576154
2014-06-13,-0.2599992752075213
2014-06-20,-0.5099992752075178
2014-06-27,-0.13999938964843572
2014-07-04,-0.4099998474121076
2014-07-11,-0.10000038146972301
2014-07-18,1.2100000381469709
2014-07-25,1.4299993515014648
2014-08-01,6.710000991821287
2014-08-08,3.6900005340576154
2014-08-15,1.0899991989135724
2014-08-22,-1.2199993133544922
2014-08-29,-4.940000534057617
2014-09-05,-3.6800003051757812
2014-09-12,0.16000080108642756
2014-09-19,0.6399993896484375
2014-09-26,2.7600002288818377
2014-10-03,2.4600000381469727
2014-10-10,7.929999351501465
2014-10-17,9.880000114440918
2014-10-24,1.2600002288818342
2014-10-31,-0.5200004577636719
2014-11-07,-8.119999885559082
