date,EQ_LEV_Z
2012-01-13,0.17044007621039226
2012-01-20,0.7356901154338135
2012-01-27,0.49786878289157893
2012-02-03,0.2535595083336981
2012-02-10,0.8038235044800912
2012-02-17,0.5465754927661055
2012-02-24,-0.07223611092861076
2012-03-02,-0.1542328464779501
2012-03-09,-0.19132679368042796
2012-03-16,-0.565563395438078
2012-03-23,-0.40755878647248217
2012-03-30,-0.2998626198183156
2012-04-06,-0.5717148191214646
2012-04-13,0.27525937452554283
2012-04-20,-0.13929855742610636
2012-04-27,-0.06635086925216738
2012-05-04,-0.04380428322779603
2012-05-11,0.31015134648801923
2012-05-18,-0.8536508631451293
2012-05-25,-0.1760097102503518
2012-06-01,-1.6173314793866667
2012-06-08,-1.7408401970910332
2012-06-15,-1.336840232674299
2012-06-22,-2.2323486932059367
2012-06-29,-1.6143045922927843
2012-07-06,-1.2560837715227946
2012-07-13,-0.8001638092527286
2012-07-20,-1.6018098274762245
2012-07-27,-1.60161955812747
2012-08-03,-1.581857319025312
2012-08-10,-0.7178813347363789
2012-08-17,-0.8705845521469889
2012-08-24,-1.6926972880428415
2012-08-31,-1.5975571198213974
2012-09-07,-1.7449161071162758
2012-09-14,-1.8181794725245852
2012-09-21,-1.5583450470017706
2012-09-28,-0.9993917877861005
2012-10-05,1.0135881960164665
2012-10-12,0.8373029562451869
2012-10-19,0.6286509188957449
2012-10-26,1.020447021841713
2012-11-02,0.7293315150827541
2012-11-09,0.684993238659606
2012-11-16,1.140997805149426
2012-11-23,2.0595381165515643
2012-11-30,0.9979249517463471
2012-12-07,0.9747026642662776
2012-12-14,1.6984553771531565
2012-12-21,2.3701000741731115
2012-12-28,2.280562945564658
2013-01-04,0.291009829642102
2013-01-11,0.6531360429290066
2013-01-18,0.18509775312779458
2013-01-25,-0.32097462342282707
2013-02-01,-0.3850470029793461
2013-02-08,-0.6894386897416005
2013-02-15,-0.19599349442555358
2013-02-22,-0.4243477815039798
2013-03-01,0.03195953225976538
2013-03-08,0.05526089778193168
2013-03-15,0.7945536106153289
2013-03-22,0.5494841995330898
2013-03-29,0.6024574047072133
2013-04-05,0.14456861881033903
2013-04-12,-0.06247788437954201
2013-04-19,0.5100723285274389
2013-04-26,0.5278383676321583
2013-05-03,0.42634576455726053
2013-05-10,1.0523242294920911
2013-05-17,0.6035151628041083
2013-05-24,-0.0004676052773589971
2013-05-31,-0.5055124650155296
2013-06-07,-0.7529164950154763
2013-06-14,-0.3305842410731455
2013-06-21,-0.2542750284808689
2013-06-28,-0.9982415099753014
2013-07-05,1.305551437607615
2013-07-12,1.2808726799135424
2013-07-19,0.7236254700493453
2013-07-26,0.48843314529867116
2013-08-02,0.3285045512611732
2013-08-09,0.6309433209011338
2013-08-16,0.26274385280566454
2013-08-23,0.12623113594482033
2013-08-30,0.4760983769102334
2013-09-06,0.483206247509246
2013-09-13,0.26589342012835265
2013-09-20,-0.16220090223867786
2013-09-27,0.36496882569489386
2013-10-04,0.5585051740897647
2013-10-11,1.0467515449884508
2013-10-18,1.651005093623585
2013-10-25,1.7589159640644039
2013-11-01,2.008367233314275
2013-11-08,1.7313356257054109
2013-11-15,1.919626615449856
2013-11-22,2.0479956335952845
2013-11-29,1.8173581245357744
2013-12-06,1.8361993526833726
2013-12-13,2.0274203678323
2013-12-20,1.6585280085603284
2013-12-27,2.5755364984553375
2014-01-03,0.3094636702834395
2014-01-10,0.3824050253829627
2014-01-17,0.46458421570440644
2014-01-24,0.09472472496995268
2014-01-31,-0.5283340154796566
2014-02-07,-0.23883732216092998
2014-02-14,-0.25695019284338566
2014-02-21,-1.6126768117502361
2014-02-28,-1.7351563852550327
2014-03-07,-1.3686804411676614
2014-03-14,-1.5033860365734844
2014-03-21,-1.6862189962504253
2014-03-28,-0.9836936905162518
2014-04-04,-1.1792509162518994
2014-04-11,-0.6855084952751157
2014-04-18,-0.8998742648533459
2014-04-25,-0.6631833301525241
2014-05-02,-0.3646889685873497
2014-05-09,-0.28390114686622947
2014-05-16,-0.7144327234863922
2014-05-23,-0.7827418004246879
2014-05-30,-1.2135395907239483
2014-06-06,-0.9195081217039869
2014-06-13,-1.032911454434975
2014-06-20,-1.3570331519589212
2014-06-27,-1.3911571981614357
2014-07-04,-2.305609389253717
2014-07-11,-1.8142930221232612
2014-07-18,-1.8751364088159606
2014-07-25,-1.1488393026353718
2014-08-01,-0.8753857246923672
2014-08-08,-1.2413139732930016
2014-08-15,-0.6274720203743466
2014-08-22,-0.9852837920696524
2014-08-29,-0.9976200175140395
2014-09-05,-0.711990997953896
2014-09-12,-0.7091098885640653
2014-09-19,-0.6236724822983754
2014-09-26,-0.8903792337387436
2014-10-03,-0.7961926654965507
2014-10-10,-0.5749522616666461
2014-10-17,-0.15692422317319188
2014-10-24,0.1599707636560887
2014-10-31,-1.3615090116838828
2014-11-07,-0.9159912624533235
2014-11-14,0.556630324033107
2014-11-21,0.8593997923457267
2014-11-28,1.088606371755003
2014-12-05,1.1253472930206165
2014-12-12,1.778948405468836
2014-12-19,2.375980698019637
2014-12-26,3.54454186089671
2015-01-02,1.8711701595531567
2015-01-09,1.7891327869490183
2015-01-16,2.4170389313569602
2015-01-23,1.750596374755804
2015-01-30,1.5759898331228201
2015-02-06,1.4426684102591392
2015-02-13,0.994805801548492
2015-02-20,0.8832968375687644
2015-02-27,0.8151311391325873
2015-03-06,0.6391187453055562
2015-03-13,0.6061611772240963
2015-03-20,0.09156271682250776
2015-03-27,0.21066037047939562
2015-04-03,-0.1149839894443891
2015-04-10,0.04147010364491068
