date,EQ_DXY_CHG8
2012-01-13,0.04420731707317094
2012-01-20,0.0067389503802424144
2012-01-27,0.003523052464228904
2012-02-03,0.003713500864787944
2012-02-10,-0.014229465709728828
2012-02-17,-0.007494057300137635
2012-02-24,-0.022774327122153104
2012-03-02,-0.022780416964087946
2012-03-09,-0.018082561491750027
2012-03-16,-0.005447315607743364
2012-03-23,0.005614559833717836
2012-03-30,0.0010136333688104404
2012-04-06,0.00975807063225198
2012-04-13,0.007021214909682216
2012-04-20,0.010746375331835756
2012-04-27,-0.008740223921010593
2012-05-04,-0.006784023188115995
2012-05-11,0.005991025994535271
2012-05-18,0.02453840821727904
2012-05-25,0.043010480482000846
2012-06-01,0.037603585108780146
2012-06-08,0.032833466853595006
2012-06-15,0.030734651615021313
2012-06-22,0.045064732114497685
2012-06-29,0.02678054793831275
2012-07-06,0.03878451111332604
2012-07-13,0.025303842936574394
2012-07-20,0.013057935487002625
2012-07-27,-0.002183616841597291
2012-08-03,-0.0016482650798075316
2012-08-10,0.01133189591806727
2012-08-17,0.004133437074499202
2012-08-24,-0.00041652884462239914
2012-08-31,-0.0260143684709212
2012-09-07,-0.03715701448127762
2012-09-14,-0.055475694194877745
2012-09-21,-0.040878259923345706
2012-09-28,-0.02962063732928677
2012-10-05,-0.03895679139461916
2012-10-12,-0.035461765702939685
2012-10-19,-0.024168739965438335
2012-10-26,-0.014038025810265031
2012-11-02,0.004249115286846461
2012-11-09,0.027635800981647973
2012-11-16,0.02431676079064138
2012-11-23,0.0032151122787262842
2012-11-30,0.010285238917528972
2012-12-07,0.009301216312902483
2012-12-14,-0.0005149395260044543
2012-12-21,-0.005632712194634459
2012-12-28,-0.011353343342473954
2013-01-04,-0.006504085108483659
2013-01-11,-0.02084743468255046
2013-01-18,-0.0019453312051076477
2013-01-25,-0.005052836450288867
2013-02-01,-0.015956123768779196
2013-02-08,0.008368936918823788
2013-02-15,0.01209540675986287
2013-02-22,0.022641130550465682
2013-03-01,0.022534441421632634
2013-03-08,0.039377600140768854
2013-03-15,0.027799990004497843
2013-03-22,0.03295380448412488
2013-03-29,0.04866982622432858
2013-04-05,0.02803878074919619
2013-04-12,0.021481757259866008
2013-04-19,0.015119903782430555
2013-04-26,0.002296113615103179
2013-05-03,-0.006904807971364946
2013-05-10,0.010721970314000684
2013-05-17,0.022773623385451858
2013-05-24,0.008725414577709367
2013-05-31,0.010655062063615217
2013-06-07,-0.007799686554652574
2013-06-14,-0.02471165703508471
2013-06-21,-0.0022302489636614187
2013-06-28,0.01231050228310493
2013-07-05,0.015707876790589603
2013-07-12,-0.015002611213977057
2013-07-19,-0.013058542413381113
2013-07-26,-0.02060569715142435
2013-08-02,0.002926446999473642
2013-08-09,0.005652658981033953
2013-08-16,-0.012889040064141377
2013-08-23,-0.02135055812163189
2013-08-30,-0.027969543748297743
2013-09-06,-0.01014604521135587
2013-09-13,-0.013981865943564098
2013-09-20,-0.015014022067918242
2013-09-27,-0.019790496654783385
2013-10-04,-0.01237581046766767
2013-10-11,-0.011014435679387757
2013-10-18,-0.02098056808544646
2013-10-25,-0.03524309573988571
2013-11-01,-0.017408029605823883
2013-11-08,-0.0018292982369985111
2013-11-15,0.005197001156270753
2013-11-22,0.005243688268337321
2013-11-29,0.006964379321534819
2013-12-06,-0.0005848535377417363
2013-12-13,0.00703040650814768
2013-12-20,0.017438189761850742
2013-12-27,-0.004014074037365534
2014-01-03,-0.0062974305991169155
2014-01-10,-0.002362428725154353
2014-01-17,0.006405808593943574
2014-01-24,-0.0027516113039167678
2014-01-31,0.012401170391583172
2014-02-07,0.005946592864088718
2014-02-14,-0.0054483400558487105
2014-02-21,-0.0019280525425415806
2014-02-28,-0.013615377950514262
2014-03-07,-0.011641746633935912
2014-03-14,-0.021902123730378587
2014-03-21,-0.004387382236694881
2014-03-28,-0.013958750968503741
2014-04-04,-0.003321312166164714
2014-04-11,-0.008535489667565122
2014-04-18,-0.0048606004711043704
2014-04-25,0.0007278111706465751
2014-05-02,-0.0025464443859053443
2014-05-09,0.00575233491931626
2014-05-16,-0.0007739841458086483
2014-05-23,0.002706545599680643
2014-05-30,-0.0006714497096601546
2014-06-06,0.01204500830690236
2014-06-13,0.009129961050509117
2014-06-20,0.007812010181945883
2014-06-27,0.006577292620353115
2014-07-04,0.004580553921629926
2014-07-11,0.0017990330197517057
2014-07-18,0.0016294951052953088
2014-07-25,0.008212121589169952
2014-08-01,0.011105721996294005
2014-08-08,0.01008985305798249
2014-08-15,0.013089135519832817
2014-08-22,0.028698509476630107
2014-08-29,0.030883653714385284
2014-09-05,0.04429645703168861
2014-09-12,0.04614773235308722
2014-09-19,0.045736711547717634
2014-09-26,0.05335662099333338
2014-10-03,0.06518079838798863
2014-10-10,0.05511888386716457
2014-10-17,0.033691216478818564
2014-10-24,0.03606129453279827
2014-10-31,0.03795125329894078
2014-11-07,0.04038461538461546
2014-11-14,0.03292618162506655
2014-11-21,0.03117702008407286
2014-11-28,0.019170876877292464
2014-12-05,0.03983145544277855
2014-12-12,0.03822112560216184
2014-12-19,0.045094013903793195
2014-12-26,0.035815778271224286
2015-01-02,0.039227767508728695
2015-01-09,0.05038560411311055
2015-01-16,0.04767297021854833
2015-01-23,0.07250215039159769
2015-01-30,0.061230886336669066
2015-02-06,0.07169290313819121
2015-02-13,0.05137391459630791
2015-02-20,0.04690658669332448
2015-02-27,0.04625603864734318
2015-03-06,0.06178278131288395
2015-03-13,0.08441418071768259
2015-03-20,0.03320951436229724
2015-03-27,0.026233070334584996
2015-04-03,0.019504107795307313
2015-04-10,0.05453232980541611
2015-04-17,0.03466202667289098
2015-04-24,0.017094644937193593
2015-05-01,-0.02374635045843365
2015-05-08,-0.055177912887471314
2015-05-15,-0.04875956245084723
2015-05-22,-0.013125571738393127
2015-05-29,0.003749546843440754
2015-06-05,-0.030522056010791387
2015-06-12,-0.026127973748974576
2015-06-19,-0.029270960153525594
2015-06-26,0.0018363642087368959
2015-07-03,0.01391438276684176
2015-07-10,0.03103022494228802
2015-07-17,0.019247193117670314
2015-07-24,0.0034775609605086633
2015-07-31,0.010695076111561175
2015-08-07,0.027281725140041457
2015-08-14,0.025880852420683498
2015-08-21,-0.004860063683593041
2015-08-28,-7.283093858279077e-05
2015-09-04,0.0021244467586565285
2015-09-11,-0.027262880382579513
2015-09-18,-0.02448480111883511
2015-09-25,-0.010962028437576987
2015-10-02,-0.01776288142021054
2015-10-09,-0.017685453791960182
2015-10-16,-0.004925900976759712
2015-10-23,0.010623686346326044
2015-10-30,0.007450976316910607
2015-11-06,0.04174632855011873
2015-11-13,0.04358917596955614
2015-11-20,0.0342373972930019
2015-11-27,0.04372325993947612
2015-12-04,0.037347199223735084
2015-12-11,0.031997038290670465
2015-12-18,0.01622617809671878
2015-12-25,0.009293833680605657
2016-01-01,-0.004890690545337195
2016-01-08,-0.004626356088001771
2016-01-15,-0.006116607241500427
2016-01-22,-0.004459108178364257
2016-01-29,0.01272952803139682
2016-02-05,-0.005473274227438041
2016-02-12,-0.027993070119449293
2016-02-19,-0.012744386644455097
2016-02-26,-0.005421399835838114
2016-03-04,-0.012177795818956838
2016-03-11,-0.028133715994987707
2016-03-18,-0.04507200674874967
2016-03-25,-0.03346183964821392
2016-04-01,-0.02485803506095996
2016-04-08,-0.01777152386908487
2016-04-15,-0.0197101449275362
2016-04-22,-0.03089212210131631
2016-04-29,-0.04374357920690375
2016-05-06,-0.02374911616686759
2016-05-13,-0.00502702816397782
