date,EQ_VIX
2012-01-13,20.90999984741211
2012-01-20,18.280000686645508
2012-01-27,18.530000686645508
2012-02-03,17.100000381469727
2012-02-10,20.790000915527344
2012-02-17,17.780000686645508
2012-02-24,17.309999465942383
2012-03-02,17.290000915527344
2012-03-09,17.110000610351562
2012-03-16,14.470000267028809
2012-03-23,14.81999969482422
2012-03-30,15.5
2012-04-06,16.700000762939453
2012-04-13,19.549999237060547
2012-04-20,17.440000534057617
2012-04-27,16.31999969482422
2012-05-04,19.15999984741211
2012-05-11,19.88999938964844
2012-05-18,25.100000381469727
2012-05-25,21.760000228881836
2012-06-01,26.65999984741211
2012-06-08,21.229999542236328
2012-06-15,21.11000061035156
2012-06-22,18.11000061035156
2012-06-29,17.079999923706055
2012-07-06,17.100000381469727
2012-07-13,16.739999771118164
2012-07-20,16.270000457763672
2012-07-27,16.700000762939453
2012-08-03,15.640000343322754
2012-08-10,14.739999771118164
2012-08-17,13.449999809265137
2012-08-24,15.18000030517578
2012-08-31,17.469999313354492
2012-09-07,14.380000114440918
2012-09-14,14.510000228881836
2012-09-21,13.979999542236328
2012-09-28,15.729999542236328
2012-10-05,14.329999923706056
2012-10-12,16.139999389648438
2012-10-19,17.059999465942383
2012-10-26,17.809999465942383
2012-11-02,17.59000015258789
2012-11-09,18.61000061035156
2012-11-16,16.40999984741211
2012-11-23,15.140000343322754
2012-11-30,15.869999885559082
2012-12-07,15.899999618530272
2012-12-14,17.0
2012-12-21,17.84000015258789
2012-12-28,22.719999313354492
2013-01-04,13.829999923706056
2013-01-11,13.359999656677246
2013-01-18,12.460000038146973
2013-01-25,12.890000343322754
2013-02-01,12.899999618530272
2013-02-08,13.020000457763672
2013-02-15,12.460000038146973
2013-02-22,14.170000076293944
2013-03-01,15.359999656677246
2013-03-08,12.59000015258789
2013-03-15,11.300000190734863
2013-03-22,13.56999969482422
2013-03-29,12.699999809265137
2013-04-05,13.920000076293944
2013-04-12,12.0600004196167
2013-04-19,14.970000267028809
2013-04-26,13.609999656677246
2013-05-03,12.850000381469728
2013-05-10,12.59000015258789
2013-05-17,12.449999809265137
2013-05-24,13.989999771118164
2013-05-31,16.299999237060547
2013-06-07,15.140000343322754
2013-06-14,17.149999618530273
