date,EQ_AMGR_CHG4
2012-01-13,-0.11647838437917994
2012-01-20,0.15265849053507774
2012-01-27,0.4694595271312598
2012-02-03,0.47135516365983526
2012-02-10,0.5995006853166471
2012-02-17,0.9569150402178428
2012-02-24,0.9666916658676431
2012-03-02,0.8005541266163295
2012-03-09,0.853372858364712
2012-03-16,0.23636720775251302
2012-03-23,0.22397759252204438
2012-03-30,-0.12299096420963213
2012-04-06,0.04716780013745555
2012-04-13,0.03280935963667577
2012-04-20,-0.6385471421975759
2012-04-27,-0.42710192373631634
2012-05-04,-0.8780412451033097
2012-05-11,-0.4802587870617385
2012-05-18,-0.2534025813010248
2012-05-25,-0.6399551024748482
2012-06-01,-0.40209324964577103
2012-06-08,-0.657613262945911
2012-06-15,-0.9263625806341241
2012-06-22,0.33714599778498033
2012-06-29,0.2373028406894238
2012-07-06,-0.2191240089722664
2012-07-13,0.7960786025857023
2012-07-20,-0.3815985661057588
2012-07-27,-0.31822545048998274
2012-08-03,0.10999051112186897
2012-08-10,0.2676102142305569
2012-08-17,0.6684739839745291
2012-08-24,1.1848236918392374
2012-08-31,1.453567912058932
2012-09-07,0.8490163399055063
2012-09-14,0.44427069734638314
2012-09-21,0.1706773674004613
2012-09-28,0.9906127429717482
2012-10-05,0.7110581565015831
2012-10-12,1.044873738500612
2012-10-19,0.9336732810342596
2012-10-26,0.14862622855528057
2012-11-02,0.3855538470328189
2012-11-09,0.3926815724824899
2012-11-16,-0.0945956363408034
2012-11-23,-1.3909177756561246
2012-11-30,-1.3276011343076026
2012-12-07,-1.271099184403661
2012-12-14,-0.936518526629396
2012-12-21,0.228884694059207
2012-12-28,0.6531202078175619
2013-01-04,1.162121739051817
2013-01-11,1.0002535565539692
2013-01-18,1.7398773503748926
2013-01-25,1.2225330106943149
2013-02-01,0.9113227546410558
2013-02-08,1.5697625423654527
2013-02-15,0.4189112673983861
2013-02-22,0.0900750911105765
2013-03-01,-0.3861510026499833
2013-03-08,-1.1177172264504787
2013-03-15,-1.3139799146652011
2013-03-22,-0.9126579658881656
2013-03-29,-0.3335779697647553
2013-04-05,0.35729785972210987
2013-04-12,1.1623585799576206
2013-04-19,0.6797881021490226
2013-04-26,0.5420094130292012
2013-05-03,-0.21447423409363017
2013-05-10,-0.15187317656827296
2013-05-17,0.25758706050709834
2013-05-24,0.16859741273397233
2013-05-31,1.1048506078824079
2013-06-07,1.0808402577236167
2013-06-14,0.5395683561757814
2013-06-21,-0.13734271855172317
2013-06-28,-0.4942732632643209
2013-07-05,-2.769522025026817
2013-07-12,-2.3481353220179195
2013-07-19,-1.4157625865674364
2013-07-26,-1.449042132462555
2013-08-02,1.497394613001098
2013-08-09,1.6538018909785133
2013-08-16,0.9977834049424923
2013-08-23,0.3479886844804104
2013-08-30,-0.9310089070161215
2013-09-06,-1.4302176668210604
2013-09-13,-1.4234315769054477
2013-09-20,-0.5622249084749096
2013-09-27,0.3600457453554281
2013-10-04,0.4500106029520151
2013-10-11,0.1606386049334931
2013-10-18,-0.7681568083154664
2013-10-25,-0.9326883865867945
2013-11-01,-0.10716465863744762
2013-11-08,0.8618336929183891
2013-11-15,1.0257392685588487
2013-11-22,1.0832670440120233
2013-11-29,0.4600563222275734
2013-12-06,-0.31665331345135517
2013-12-13,-0.3220593149991374
2013-12-20,-0.11527640214378028
2013-12-27,-0.4003920331373848
2014-01-03,1.0783820574211482
2014-01-10,1.5595229267823072
2014-01-17,1.3464217426963865
2014-01-24,1.9584499244420672
2014-01-31,0.438648969443765
2014-02-07,-0.9495673333630211
2014-02-14,-1.9213639637891775
2014-02-21,-1.0649926628314395
2014-02-28,-0.8102134539944239
2014-03-07,-0.4508119219521786
2014-03-14,0.7525609734867335
2014-03-21,-0.10634388050271637
2014-03-28,-0.17519956787419233
2014-04-04,1.9565145671746729
2014-04-11,1.6313874764857206
2014-04-18,0.9166523018236001
2014-04-25,0.43078433392506493
2014-05-02,-0.846141204011844
2014-05-09,-0.8554719845036571
2014-05-16,-0.400718095344937
2014-05-23,0.32496076872609364
2014-05-30,-0.05311779952068483
2014-06-06,0.3586558171649796
2014-06-13,0.8322925187351423
2014-06-20,0.605556895600436
2014-06-27,0.42872758944233025
2014-07-04,0.3913764743368453
2014-07-11,-0.4775215008435775
2014-07-18,-0.4134463033254687
2014-07-25,0.1838967337770729
2014-08-01,-0.19511587438920114
2014-08-08,0.18210695767282697
2014-08-15,-1.332310683347441
2014-08-22,-1.3126128928727636
2014-08-29,-0.9750527815424453
2014-09-05,-0.9987096927931595
2014-09-12,0.2716309291361699
2014-09-19,0.013604558332196601
2014-09-26,-0.4420397892175606
2014-10-03,0.8417717139496145
2014-10-10,0.43602638344032096
2014-10-17,-0.36840425484812167
2014-10-24,-1.0041807958934725
2014-10-31,-2.2308689953536973
2014-11-07,-1.3988034327226964
2014-11-14,-0.7822512824185062
2014-11-21,0.44462381003602613
2014-11-28,0.9686201592013952
2014-12-05,1.08452143148328
2014-12-12,1.3508726815225696
2014-12-19,0.7360864177253232
2014-12-26,-2.0994422672377
2015-01-02,0.46402720202553366
2015-01-09,1.1200170555087245
2015-01-16,0.1907052926789606
2015-01-23,2.4027425661761326
2015-01-30,-1.123739869103459
2015-02-06,-0.9492835394466186
2015-02-13,-0.8142619391045344
2015-02-20,-1.1812618381241144
2015-02-27,-0.18866195540508293
2015-03-06,-0.43427263830215923
2015-03-13,-0.2814603858224247
2015-03-20,-1.4930238589876623
2015-03-27,-1.879538251901186
2015-04-03,-0.7871079295288389
2015-04-10,-0.5985750486944639
2015-04-17,0.6791356029436539
2015-04-24,1.165338985084624
2015-05-01,-0.6666035977252504
2015-05-08,0.07857184001396898
2015-05-15,-0.14646436190417084
2015-05-22,-0.45904520891742645
2015-05-29,0.47178930768063077
2015-06-05,-0.11073052424093419
2015-06-12,0.08964405126117131
2015-06-19,-0.7939327461053456
2015-06-26,-1.8752659837767442
2015-07-03,0.3408624517708839
2015-07-10,-0.7489909210073273
2015-07-17,0.16346216812235723
2015-07-24,0.9228633461969448
2015-07-31,-0.6939042002696254
2015-08-07,-0.44008500863996014
2015-08-14,-0.8256165605949997
2015-08-21,-0.8346734455787336
2015-08-28,-1.402348188909459
2015-09-04,-2.755600606528619
2015-09-11,-2.993143400841407
2015-09-18,-2.8933806048752593
2015-09-25,-2.3576126735099825
2015-10-02,-1.0163710681341107
2015-10-09,-0.2756763796351873
2015-10-16,0.8358788983038885
2015-10-23,1.241669960922615
2015-10-30,1.594420027699753
2015-11-06,1.9741772498604608
2015-11-13,1.3405658978923056
2015-11-20,0.5136972026517922
2015-11-27,-0.24536940883557778
2015-12-04,-0.6864246661444875
2015-12-11,-0.8875271549255701
2015-12-18,-0.6520005578518394
2015-12-25,-0.4578135463219547
2016-01-01,-0.4015952872631481
2016-01-08,-0.052953361031372936
2016-01-15,-0.5873097839354102
2016-01-22,-0.6719434876104147
2016-01-29,-0.7372576784650257
2016-02-05,-1.1768824087159513
2016-02-12,-0.30826696530330566
2016-02-19,-0.0263989654032392
2016-02-26,0.0680745217784968
2016-03-04,0.40085621498864954
2016-03-11,0.07032944487347538
2016-03-18,-0.007105812201601725
2016-03-25,-0.05366119182977859
2016-04-01,0.24217626834638445
2016-04-08,0.10647274279651943
2016-04-15,0.2734077946866005
2016-04-22,0.47742894257584256
2016-04-29,0.5748925337429476
2016-05-06,0.7292472496863939
2016-05-13,0.5442958328725779
2016-05-20,0.5810279778060833
2016-05-27,-0.07152620726707952
2016-06-03,0.20337515470997836
2016-06-10,0.4872616243544202
2016-06-17,0.3664616833168982
2016-06-24,-0.15313541906508055
2016-07-01,-0.7641429724528663
2016-07-08,-1.5445075563956012
2016-07-15,-1.0004044437652537
2016-07-22,-0.2562297747320876
2016-07-29,0.8711721542195205
2016-08-05,1.86718457082618
2016-08-12,0.8373606679783692
2016-08-19,1.0667086221659106
2016-08-26,0.22947466497155034
2016-09-02,0.5020630248021305
2016-09-09,0.7397664903239988
2016-09-16,0.34129731491640497
2016-09-23,-0.6199028608474643
2016-09-30,-0.44936154314826765
2016-10-07,-0.26655606784661007
2016-10-14,-0.8042563041886815
2016-10-21,-0.09215779334212575
2016-10-28,-0.8241634128797748
2016-11-04,-0.956933763778201
2016-11-11,-1.5255820585840305
2016-11-18,-1.468845766523292
2016-11-25,-0.7050762440244843
2016-12-02,-0.7782294213795042
2016-12-09,0.7353818260137408
2016-12-16,0.1987951152549844
2016-12-23,0.4742367598746349
2016-12-30,1.3896033952194646
2017-01-06,0.4984897615401749
2017-01-13,1.5295007715730746
2017-01-20,1.3822074983912946
2017-01-27,0.8983385397006732
2017-02-03,1.6201565524807955
2017-02-10,1.61774831141522
2017-02-17,0.9554845425987729
2017-02-24,0.7494055329874681
2017-03-03,0.991860865143817
2017-03-10,0.8259872082418122
2017-03-17,0.5589550430166133
2017-03-24,0.7360952296553059
2017-03-31,-0.2878842405113448
2017-04-07,-0.15938076765818882
2017-04-14,0.18334470541540962
