date,EQ_CYCDEF_4W
2012-01-13,0.06051084100533588
2012-01-20,0.06925724004008615
2012-01-27,0.08849283040949085
2012-02-03,0.06866146082132318
2012-02-10,0.03494673926932501
2012-02-17,0.020947260692835812
2012-02-24,0.012093735669381322
2012-03-02,-0.004613690500707257
2012-03-09,-0.005586624245313754
2012-03-16,0.015429122424928554
2012-03-23,0.012595608179674755
2012-03-30,1.9352781788661844e-05
2012-04-06,-5.7529579303272627e-05
2012-04-13,-0.019310317460784265
2012-04-20,-0.029818568130250522
2012-04-27,-0.007376068794691881
2012-05-04,-0.019410523258039936
2012-05-11,-0.042666775956030634
2012-05-18,-0.06672935021642012
2012-05-25,-0.06252114032971434
2012-06-01,-0.059487279830667705
2012-06-08,-0.03015436120558468
2012-06-15,0.00427882896336107
2012-06-22,-0.010326990333882513
2012-06-29,0.010365030498215022
2012-07-06,-0.005700356952345276
2012-07-13,-0.01456626386067894
2012-07-20,-0.016238194576696507
2012-07-27,-0.018917975568738976
2012-08-03,-0.008514159494337648
2012-08-10,0.022712992393936204
2012-08-17,0.0378620796977871
2012-08-24,0.03632810010536558
2012-08-31,0.030896604930504612
2012-09-07,0.032574502533907035
2012-09-14,0.04575055970531916
2012-09-21,0.0235486468192454
2012-09-28,0.005667977951547831
2012-10-05,-0.011337959050341517
2012-10-12,-0.045071794413145794
2012-10-19,-0.015295913770503322
2012-10-26,-0.006407048462484188
2012-11-02,0.008435057762338771
2012-11-09,0.021561544286940793
2012-11-16,0.006566800886456781
2012-11-23,0.03479351248146789
2012-11-30,0.007510971466770933
2012-12-07,-0.0027104165648135226
2012-12-14,0.011747495876763159
2012-12-21,0.011001645340841026
2012-12-28,0.030333886917490505
2013-01-04,0.04736077802569594
2013-01-11,0.04030819935441765
2013-01-18,0.021689183388073685
2013-01-25,0.017137743050189558
2013-02-01,-0.009665675151300457
2013-02-08,-0.010849307415334186
2013-02-15,-0.008161916096406596
2013-02-22,-0.03350724996966681
2013-03-01,-0.02104472243000899
2013-03-08,-0.003374373810521636
2013-03-15,-0.006543493490828389
2013-03-22,-0.0036859502577049064
2013-03-29,-0.019515632926236703
2013-04-05,-0.05583364494347398
2013-04-12,-0.06183389835220421
2013-04-19,-0.07107162562659619
