date,EQ_VRP
2012-01-13,-0.062056372038809204
2012-01-20,-0.037942920092308624
2012-01-27,0.03497435236339558
2012-02-03,0.017096041123562944
2012-02-10,0.09473814620386528
2012-02-17,0.0943047428210338
2012-02-24,0.1020576394682651
2012-03-02,0.10204780811265159
2012-03-09,0.0978549976418439
2012-03-16,0.07117203546715813
2012-03-23,0.07076718127380946
2012-03-30,0.08688017167750142
2012-04-06,0.09258849047842058
2012-04-13,0.10485417194036949
2012-04-20,0.08316479082337225
2012-04-27,0.06299088252670675
2012-05-04,0.06897812742162861
2012-05-11,0.09699010735801822
2012-05-18,0.10826780078811363
2012-05-25,0.06415102569646336
2012-06-01,0.10322455331360766
2012-06-08,0.009764503719702083
2012-06-15,0.005345223411864192
2012-06-22,-0.016075055696524065
2012-06-29,-0.02705084601584104
2012-07-06,-0.02518062232470361
2012-07-13,0.018673620625582504
2012-07-20,0.017913731635078978
2012-07-27,0.06218797236321151
2012-08-03,0.0900463090997893
2012-08-10,0.08252402372858783
2012-08-17,0.0782743837476671
2012-08-24,0.0992394929300673
2012-08-31,0.12461369825769232
2012-09-07,0.07851654888461343
2012-09-14,0.07325160381527225
2012-09-21,0.06343212950206915
2012-09-28,0.06513108982531614
2012-10-05,0.04842345579569704
2012-10-12,0.04477617672208056
2012-10-19,0.055303561835402526
2012-10-26,0.05543185945352877
2012-11-02,0.07003098534572548
2012-11-09,0.08826770036119926
2012-11-16,0.06576420108801537
2012-11-23,0.002581518841115238
2012-11-30,0.016150681205828438
2012-12-07,0.027440284680257443
2012-12-14,0.03885507954899167
2012-12-21,0.04991716222657869
2012-12-28,0.08729691467098005
2013-01-04,-0.02411150833540321
2013-01-11,-0.017422187203842976
2013-01-18,-0.006203226145908819
2013-01-25,-0.0026345784605018574
2013-02-01,-0.0014350955595138493
2013-02-08,0.0025345544543186327
2013-02-15,-0.0040339061070857885
2013-02-22,0.03518576973724556
2013-03-01,0.12103314970871523
2013-03-08,0.07157255185132327
2013-03-15,0.05886980817043707
2013-03-22,0.0813086793964902
2013-03-29,0.07253990542082334
2013-04-05,0.07301733820099149
2013-04-12,0.03722707835944104
2013-04-19,0.04214193232474876
2013-04-26,0.023048575067778007
2013-05-03,0.017599522256752237
2013-05-10,0.01345257573470289
2013-05-17,0.00821580252342885
2013-05-24,0.014068974862190858
2013-05-31,0.035540424393375264
2013-06-07,0.033270124442103435
2013-06-14,0.06889567112715034
2013-06-21,0.07370646036773633
2013-06-28,0.06351771693302809
2013-07-05,0.04030074934808968
2013-07-12,0.02054793037145354
2013-07-19,0.01051073751067963
2013-07-26,0.019696922729031716
2013-08-02,0.011506268742727019
2013-08-09,0.026052271959658535
2013-08-16,0.03473076862175095
2013-08-23,0.031222978880505833
2013-08-30,0.053589019747887365
2013-09-06,0.06111895326419303
2013-09-13,0.033297830026153635
2013-09-20,0.018082283741873303
2013-09-27,0.0408912271981763
2013-10-04,0.05661614021411629
2013-10-11,0.06398074552696088
2013-10-18,0.023696891844454837
2013-10-25,0.050896307448728556
2013-11-01,0.051699774437498874
2013-11-08,0.05539286087991453
2013-11-15,0.046398674433160314
2013-11-22,0.06503652878105101
2013-11-29,0.08068413296283541
2013-12-06,0.07698079572463004
2013-12-13,0.09261812231091297
2013-12-20,0.05208605460049663
2013-12-27,0.037184227057195346
2014-01-03,0.04557830489440676
2014-01-10,0.03452883406658119
2014-01-17,0.03613583167381655
2014-01-24,0.06670889758233119
2014-01-31,0.06911590813479845
2014-02-07,0.04428156340131373
2014-02-14,0.028251737234629704
2014-02-21,0.04406383129353747
2014-02-28,0.03381178452609011
2014-03-07,0.033335139612633985
2014-03-14,0.05685773301426274
2014-03-21,0.05454077298099411
2014-03-28,0.04875685535553376
2014-04-04,0.04458962346461706
2014-04-11,0.0637053023770352
2014-04-18,0.005304971054085006
2014-04-25,0.016079291344557364
2014-05-02,0.0051841788249906845
2014-05-09,0.018887588262219215
2014-05-16,0.01791196440322848
2014-05-23,0.005035019900939172
2014-05-30,0.0030632262807157584
2014-06-06,0.039436963824549545
2014-06-13,0.06609721298854465
2014-06-20,0.05131096515856893
2014-06-27,0.05298577423109238
2014-07-04,0.04466974781971657
2014-07-11,0.05184393644952874
2014-07-18,0.053901642776975484
2014-07-25,0.06229309348646836
2014-08-01,0.07703273152556937
2014-08-08,0.06503246498716132
2014-08-15,0.040277347944233835
2014-08-22,0.012913984550130306
2014-08-29,0.0217734719730249
2014-09-05,0.02583288691035722
2014-09-12,0.03324333980557237
2014-09-19,0.01707483921160885
2014-09-26,0.068037869856484
2014-10-03,0.060198113496980885
2014-10-10,0.09854852408422651
2014-10-17,0.12183727079153166
2014-10-24,0.0044935044938516355
2014-10-31,-0.0326049418570423
2014-11-07,-0.03929267453321436
2014-11-14,-0.0353963258923406
2014-11-21,-0.03363296236403307
2014-11-28,-0.02561349908781474
2014-12-05,0.000981572153363322
2014-12-12,0.052494181008918145
2014-12-19,0.01922604696151764
2014-12-26,0.010243194820030277
2015-01-02,0.03507631875366976
2015-01-09,0.031536498621264564
2015-01-16,0.06584232151740432
2015-01-23,0.015237572073556166
2015-01-30,0.045105048125172964
2015-02-06,0.01282939558084839
2015-02-13,0.0023023641111956372
2015-02-20,-0.000858645017255355
2015-02-27,-0.003548580841371801
2015-03-06,0.008625203629223921
2015-03-13,0.019851934625875672
2015-03-20,-0.01956225286265942
2015-03-27,0.007885242566605416
2015-04-03,0.02540512659931117
2015-04-10,0.00801480736789903
2015-04-17,0.019771442196517094
2015-04-24,-0.005505537317946382
2015-05-01,0.005948324393967683
2015-05-08,0.011597058958896497
2015-05-15,0.026924347966569756
2015-05-22,0.05249823858715323
2015-05-29,0.061857815516491096
2015-06-05,0.0757679680892096
2015-06-12,0.07796474090267957
2015-06-19,0.09620001280372838
2015-06-26,0.09656048677183335
2015-07-03,0.11682816693862012
2015-07-10,0.11925932219710753
2015-07-17,0.03594065302205185
2015-07-24,0.039172665266876544
2015-07-31,0.019137924311875804
2015-08-07,0.02640031239692768
2015-08-14,0.021759192653648313
2015-08-21,0.10421006956036627
2015-08-28,0.0815523922328846
2015-09-04,0.08586789684860938
2015-09-11,0.043042367810569
2015-09-18,0.03633672994635273
2015-09-25,0.05772368825330684
2015-10-02,0.023306232896509682
2015-10-09,-0.03932885488803303
2015-10-16,0.0024258883627045202
2015-10-23,-0.009472337277823789
2015-10-30,0.045402061119585085
2015-11-06,0.04310253683279425
2015-11-13,0.04925718290335879
2015-11-20,-0.0024267262040274518
2015-11-27,-0.007661083792302348
2015-12-04,0.0036274214996382947
2015-12-11,0.06524534973672172
2015-12-18,0.039627292789934626
2015-12-25,-0.02887703156933316
2016-01-01,-0.002520438450214907
2016-01-08,0.049346235743429195
2016-01-15,0.0790997230129776
2016-01-22,0.022567730523092466
2016-01-29,-0.009693461759239269
2016-02-05,0.028492164833093025
2016-02-12,0.04907648161728226
2016-02-19,-0.00025757177170032675
2016-02-26,-0.016519904878743025
2016-03-04,0.00814599549599962
2016-03-11,0.02516898893039682
2016-03-18,0.0006398408435994707
2016-03-25,0.004363931323735609
2016-04-01,0.033969089800035504
2016-04-08,0.04903219057826819
2016-04-15,0.0420726832013133
2016-04-22,0.038821838361240965
2016-04-29,0.06529137078405407
2016-05-06,0.05655630673175846
2016-05-13,0.06402755496310228
2016-05-20,0.06749098927200103
2016-05-27,0.03958072648586697
2016-06-03,0.051736053886623126
2016-06-10,0.09541458944482634
2016-06-17,0.11359953596145314
2016-06-24,0.1732104213301296
2016-07-01,0.027215294420384395
2016-07-08,0.011772409354739055
2016-07-15,0.004352998428362495
2016-07-22,0.007198566884554225
2016-07-29,0.005454865281141558
2016-08-05,0.0018934742457621806
2016-08-12,0.014018102548429875
2016-08-19,0.03303994460135376
2016-08-26,0.08601313824136485
2016-09-02,0.07581567055976318
2016-09-09,0.10537014053140963
2016-09-16,0.08492328592927323
2016-09-23,0.045469502325828
2016-09-30,0.0565839355041331
2016-10-07,0.05750466402181002
2016-10-14,0.08178150718096654
2016-10-21,0.05307334961490098
2016-10-28,0.08275605792945771
2016-11-04,0.15433000595264962
2016-11-11,0.01752996403761263
2016-11-18,0.005808479131483302
2016-11-25,-0.0031922400878706403
2016-12-02,0.01315581478325395
2016-12-09,-0.023307851670981622
2016-12-16,-0.020233944956499314
2016-12-23,-0.02282299914066896
2016-12-30,0.015160004963673118
2017-01-06,0.01457210769745329
2017-01-13,0.012266208401999115
2017-01-20,0.017125345081903498
2017-01-27,0.013322134900794244
2017-02-03,0.053027001847042246
2017-02-10,0.04991819580508654
2017-02-17,0.04906820603811665
2017-02-24,0.06494829871266664
2017-03-03,0.0676508863658076
2017-03-10,0.07151620907911144
2017-03-17,0.07062780144113316
2017-03-24,0.06635387416924479
2017-03-31,0.059552568873477166
