date,EQ_AMGR_Z
2012-01-13,-1.1527095181601257
2012-01-20,-1.0885926410874556
2012-01-27,-0.7850186289378556
2012-02-03,-0.46030026929091655
2012-02-10,-0.44006250720288564
2012-02-17,-0.05045865472733794
2012-02-24,0.24648808114734352
2012-03-02,0.4009299590436196
2012-03-09,0.45893885628740616
2012-03-16,0.24190107559827037
2012-03-23,0.5299582632293233
2012-03-30,0.336752925065839
2012-04-06,0.568261487959554
2012-04-13,0.3256379201071414
2012-04-20,-0.03438880284246917
2012-04-27,-0.007659711608275161
2012-05-04,-0.19057438626221754
2012-05-11,-0.02822610290922557
2012-05-18,-0.16999634975634442
2012-05-25,-0.508423207656967
2012-06-01,-0.45765536393597406
2012-06-08,-0.5100933955600596
2012-06-15,-0.9188669697869956
2012-06-22,-0.04330548865328817
2012-06-29,-0.09222207330767426
2012-07-06,-0.6061659876884797
2012-07-13,-0.09951019885205019
2012-07-20,-0.23621189067395665
2012-07-27,-0.22547769991284933
2012-08-03,-0.4143095383116851
2012-08-10,0.32257342583376303
2012-08-17,0.5275977807402181
2012-08-24,1.01164819278532
2012-08-31,1.034868170011301
2012-09-07,1.1355378149561681
2012-09-14,0.9079095791076982
2012-09-21,1.074744000246765
2012-09-28,1.868171967173675
2012-10-05,1.6334300419198233
2012-10-12,1.7207490022205922
2012-10-19,1.746676129586311
2012-10-26,1.7691797097398403
2012-11-02,1.7598405478761883
2012-11-09,1.7929205850671635
2012-11-16,1.346672830788246
2012-11-23,0.16136960853213142
2012-11-30,0.3113417184471486
2012-12-07,0.48492912365075125
2012-12-14,0.38892873808255957
2012-12-21,0.24329999440023334
2012-12-28,0.8208718541468636
2013-01-04,1.495221608937684
2013-01-11,1.2031941489782219
2013-01-18,1.7478252503392127
2013-01-25,1.801298516890974
2013-02-01,2.1223921385669384
2013-02-08,2.4166649764300168
2013-02-15,1.7331709131358901
2013-02-22,1.4721082829079015
2013-03-01,1.3519284262922209
2013-03-08,1.0302744303380034
2013-03-15,0.2823850817935741
2013-03-22,0.49022556627338676
2013-03-29,0.9653809006934831
2013-04-05,1.328304720957729
2013-04-12,1.3779047032742322
2013-04-19,1.0596176771588122
2013-04-26,1.345824518050205
2013-05-03,0.9294783052040277
2013-05-10,1.0477183515671815
2013-05-17,1.1431945258435006
2013-05-24,1.338521508726218
2013-05-31,1.824096194395909
2013-06-07,1.879653083505813
2013-06-14,1.4330658382603254
2013-06-21,0.9697434310789378
2013-06-28,1.1605716932405945
2013-07-05,-0.9164487943807262
2013-07-12,-0.9379001775020659
2013-07-19,-0.46348271608631814
2013-07-26,-0.21534811691746555
2013-08-02,0.23387898998288492
2013-08-09,0.3117963050389887
