date,EQ_LEV_CHG4
2012-01-13,-1.3071421030352273
2012-01-20,-0.8084932565225986
2012-01-27,-0.05997910113731254
2012-02-03,0.2659029926081588
2012-02-10,0.6207787871522259
2012-02-17,-0.18039011792010715
2012-02-24,-0.5575727783830241
2012-03-02,-0.3980665047559943
2012-03-09,-0.9961076529601465
2012-03-16,-1.1600206895137808
2012-03-23,-0.43014361158599723
2012-03-30,-0.20171056592311493
2012-04-06,-0.3985590147150482
2012-04-13,0.9498694334425375
2012-04-20,0.4549234624340664
2012-04-27,0.4208832896006
2012-05-04,0.7548536920445305
2012-05-11,0.1339319171005324
2012-05-18,-0.6103683074194755
2012-05-25,-0.02650788364188864
2012-06-01,-1.5340946955453254
2012-06-08,-2.042440389629131
2012-06-15,-0.5222920430741816
2012-06-22,-2.1429425947253624
2012-06-29,-0.18920575419477617
2012-07-06,0.2858231262715325
2012-07-13,0.3916039189438224
2012-07-20,0.482429367349273
2012-07-27,-0.1756832104290731
2012-08-03,-0.52109116612013
2012-08-10,-0.1033786782512208
2012-08-17,0.6323716644589754
2012-08-24,-0.19092346733647825
2012-08-31,-0.11273254816519891
2012-09-07,-1.2160592184580319
2012-09-14,-1.2062976666565892
2012-09-21,-0.17399273520022676
2012-09-28,0.4273704334346216
2012-10-05,2.6682595875211508
2012-10-12,2.667109858510455
2012-10-19,2.2649110391778273
2012-10-26,2.049659785238866
2012-11-02,-0.21328306336365516
2012-11-09,-0.10501136063423823
2012-11-16,0.5626155047573199
2012-11-23,1.1035857128112385
2012-11-30,0.31626849679018487
2012-12-07,0.3662753543400234
2012-12-14,0.6245561508234913
2012-12-21,0.3818713745442313
2012-12-28,1.3899275065655636
2013-01-04,-0.5893629817778081
2013-01-11,-0.8851717949594949
2013-01-18,-2.0690714799369565
2013-01-25,-2.655879861999398
2013-02-01,-0.7289424523418356
2013-02-08,-1.4466419449240642
2013-02-15,-0.48089801717226716
2013-02-22,-0.18705251713878404
2013-03-01,0.3484563699116438
2013-03-08,0.7087468132094614
2013-03-15,0.9901162667506648
2013-03-22,0.9983814176443587
2013-03-29,0.6141448803755826
2013-04-05,0.1429905313213789
2013-04-12,-0.833642259402166
2013-04-19,-0.025177885188643757
2013-04-26,-0.06940001310864703
2013-05-03,0.2806774581682263
2013-05-10,1.132567801009246
2013-05-17,0.12966563861672828
2013-05-24,-0.5024060481295126
2013-05-31,-0.903258083900311
2013-06-07,-1.7887931250400584
2013-06-14,-0.9281380645175487
2013-06-21,-0.20616333686995306
2013-06-28,-0.431137819040158
2013-07-05,2.1537952339695763
2013-07-12,1.7165069199611223
2013-07-19,1.092767540459395
2013-07-26,1.6447232026912275
2013-08-02,-0.8731928108329614
2013-08-09,-0.575380860185372
2013-08-16,-0.37129155718889906
2013-08-23,-0.26606022130388735
2013-08-30,0.2617657299045586
2013-09-06,-0.05764832852902221
2013-09-13,0.1638570114983756
2013-09-20,-0.08916547663426158
2013-09-27,-0.00091178088651853
2013-10-04,0.1490793311566377
2013-10-11,0.8694491140854351
2013-10-18,1.9081973703990545
2013-10-25,1.4915201473179367
2013-11-01,1.6141058749819814
2013-11-08,0.935670652213425
2013-11-15,0.6002219279437648
2013-11-22,0.605043073764056
2013-11-29,0.13169773213626362
2013-12-06,0.3983379102593363
2013-12-13,0.4109288936599625
2013-12-20,-0.11814137466996931
