date,EQ_CG_CHG8
2012-01-13,0.13089572971907493
2012-01-20,0.16019511953069854
2012-01-27,0.09789441645742025
2012-02-03,0.08405743863896453
2012-02-10,0.0757575281466456
2012-02-17,-0.0037801580940414192
2012-02-24,-0.0076559001512909175
2012-03-02,0.0723769117254196
2012-03-09,0.009306675450989843
2012-03-16,0.039568803014882636
2012-03-23,0.02068689519636724
2012-03-30,0.02068144097032576
2012-04-06,0.039991647675317266
2012-04-13,0.016713208061687412
2012-04-20,0.034821448319074966
2012-04-27,0.007125053606438891
2012-05-04,0.005599914044088328
2012-05-11,-0.01551878164713738
2012-05-18,-0.04891646919611514
2012-05-25,-0.040875581201099576
2012-06-01,-0.12268267310657233
2012-06-08,-0.05499100123702749
2012-06-15,-0.07655438761063904
2012-06-22,-0.0799534613147177
2012-06-29,-0.03888369828341309
2012-07-06,-0.06386272032179074
2012-07-13,0.008871629729567232
2012-07-20,-0.008638167361197824
2012-07-27,0.035549591764447275
2012-08-03,0.014965142132528086
2012-08-10,0.007178963453150944
2012-08-17,0.0021426454833488595
2012-08-24,-0.041075437203844656
2012-08-31,-0.049512524291825954
2012-09-07,-0.04331404900401359
2012-09-14,-0.0013164154781327708
2012-09-21,0.011648036357672975
2012-09-28,0.011932698032172784
2012-10-05,0.014141118170576394
2012-10-12,-0.004378638142580882
2012-10-19,0.012084516381899002
2012-10-26,0.01241510079299113
2012-11-02,-0.012030994306960419
2012-11-09,-0.08515361521423626
2012-11-16,-0.060316836384189276
2012-11-23,-0.050643040649970716
2012-11-30,-0.0012920457907898975
2012-12-07,0.016227326149714782
2012-12-14,0.02360219649191908
2012-12-21,0.03281941422508905
2012-12-28,0.04303796493464973
2013-01-04,0.12528753728502928
2013-01-11,0.09316011978517058
2013-01-18,0.08260860360741806
2013-01-25,0.03918037726487644
2013-02-01,0.059064450271397284
2013-02-08,0.04413281274310532
2013-02-15,0.08390924517879839
2013-02-22,0.036527313741083756
2013-03-01,-0.011476041221671007
2013-03-08,0.006246502295056633
2013-03-15,0.010039057714503974
2013-03-22,-0.02447896310977049
2013-03-29,-0.05902089042658554
2013-04-05,-0.059366730093082465
2013-04-12,-0.039177699212923356
2013-04-19,0.004281589142345332
2013-04-26,-0.010614926953704695
2013-05-03,0.02206538317156892
2013-05-10,0.060555051193818654
2013-05-17,0.13157132341232436
2013-05-24,0.11279350274013478
2013-05-31,0.11384296232237823
2013-06-07,0.058917667627157
2013-06-14,0.02269708123034131
2013-06-21,0.09397257086029676
2013-06-28,0.10156339758212507
2013-07-05,0.08720451896019399
2013-07-12,0.019767508126970368
2013-07-19,0.02636764924436208
2013-07-26,-0.004928788556525898
2013-08-02,0.02424807866272305
2013-08-09,0.09132413236440518
2013-08-16,0.022974850070264896
2013-08-23,-0.03758550464848842
2013-08-30,-0.0902769765697835
2013-09-06,-0.0529076447814355
2013-09-13,0.006034342199123577
2013-09-20,0.0613648498954904
2013-09-27,0.02768880146695496
2013-10-04,0.000775853161663953
2013-10-11,0.05154518320074364
2013-10-18,0.04615621714867446
2013-10-25,0.04617234018649574
2013-11-01,0.06871136761788099
2013-11-08,0.03345413303385625
2013-11-15,-0.01357406531805061
2013-11-22,0.038478455673747636
2013-11-29,0.024890869710621155
2013-12-06,0.030800571488146078
2013-12-13,0.08077725947494696
2013-12-20,0.14935080511679777
2013-12-27,0.1359901663943175
2014-01-03,0.06933016448672014
2014-01-10,0.08799551048062448
2014-01-17,0.034120097625846224
2014-01-24,0.0017179721530957703
2014-01-31,-0.02990199585180142
2014-02-07,-0.05569768687418841
2014-02-14,-0.10913988684813358
2014-02-21,-0.12881073798856013
2014-02-28,-0.0953461775096256
2014-03-07,-0.11981304524584324
2014-03-14,-0.18215066546648107
2014-03-21,-0.13393886230290453
2014-03-28,-0.08812618424687357
2014-04-04,-0.09457345795573291
2014-04-11,-0.06809865785031777
2014-04-18,-0.052930740584799296
2014-04-25,-0.019698838189277423
2014-05-02,0.0026891600561040896
2014-05-09,0.10208705735846757
2014-05-16,0.09055180615341318
2014-05-23,0.04723653825367502
2014-05-30,0.08120407158259124
2014-06-06,0.05648023731769647
2014-06-13,0.010297707840300374
2014-06-20,-0.012725172329046686
2014-06-27,0.008666602746596475
2014-07-04,0.026741520856545797
2014-07-11,-0.00306976565511885
2014-07-18,-0.015378929136490638
2014-07-25,-0.012603327276829113
2014-08-01,0.019788783932273235
2014-08-08,0.019361500268118892
2014-08-15,0.002989160047831785
2014-08-22,0.050574478665510236
2014-08-29,-0.014365578700714088
2014-09-05,0.023573685530130062
2014-09-12,0.04006596591453815
2014-09-19,0.026214324147206813
2014-09-26,0.003994632518829144
2014-10-03,0.03734424222231025
2014-10-10,0.04497364971100071
2014-10-17,-0.032221014503208245
2014-10-24,0.013584728997163564
2014-10-31,0.04283973935818164
2014-11-07,0.03027260634853146
2014-11-14,0.011277510799825974
2014-11-21,0.014529567827716638
2014-11-28,-0.03239230234586321
2014-12-05,-0.011051637292672667
2014-12-12,-0.005892211950215498
2014-12-19,-0.015509061858533069
2014-12-26,-0.08786390718422343
2015-01-02,-0.08555333291327605
2015-01-09,-0.11852399152661741
2015-01-16,-0.19027543913403477
2015-01-23,-0.2047895010760552
2015-01-30,-0.20628218408025634
2015-02-06,-0.13098086692764344
2015-02-13,-0.12654479174084887
2015-02-20,-0.09190727574394997
2015-02-27,-0.05740060242968681
2015-03-06,-0.003098612598777417
2015-03-13,0.1340744480758007
2015-03-20,0.21047243340640898
2015-03-27,0.18541755355698197
2015-04-03,0.08649338754974556
2015-04-10,0.06860075405124877
2015-04-17,0.07051807300469215
2015-04-24,0.04441183075659838
2015-05-01,0.1053789469746762
2015-05-08,0.06067440795813761
2015-05-15,0.027403592280765166
2015-05-22,0.01751917033312389
2015-05-29,0.007452934966011071
2015-06-05,0.01585468922049138
2015-06-12,-0.014870070598354879
2015-06-19,-0.0856017556899098
2015-06-26,-0.09667150992072127
2015-07-03,-0.08153772258287861
2015-07-10,-0.08658169976042329
2015-07-17,-0.059808661260676854
2015-07-24,-0.04345737804787431
2015-07-31,-0.06374551785763216
2015-08-07,-0.06158662536427484
2015-08-14,-0.011791667420124496
2015-08-21,-0.11895635118700654
2015-08-28,-0.08574526386870696
